District,Gross Extent Sown (Hectares) - Major Schemes,Gross Extent Sown (Hectares) - Minor Schemes,Gross Extent Sown (Hectares) - Rainfed,Gross Extent Harvested (Hectares) - Major Schemes,Gross Extent Harvested (Hectares) - Minor Schemes,Gross Extent Harvested (Hectares) - Rainfed,Average Yield Per Nett Hectare (kg) - Major Schemes,Average Yield Per Nett Hectare (kg) - Minor Schemes,Average Yield Per Nett Hectare (kg) - Rainfed,Average Yield Per Nett Hectare (kg) - Average Yield,Nett Extent Harvested (Hectares),Total Production (MT),Paddy_Type,Temperature_C,Humidity,Soil_Moisture,Total_Land_Size
ANURADHAPURA,28235.0,10721.0,378.0,28198.0,10685.0,375.0,5181.0,4326.0,3828.0,4936.0,31567.0,155805.0,Bg 450,29.518306071350175,88.49399739875773,0.36601096096382235,39334.0
POLONNARUWA,56805.0,5568.0,2786.0,56805.0,5342.0,2767.0,5238.0,5313.0,3301.0,5244.0,54975.0,288314.0,Pokkali,26.239774755849343,81.7715852516508,0.3423442898655892,65159.0
BADULLA,7869.0,3782.0,12.0,7868.0,3759.0,12.0,5317.0,4255.0,4556.0,4973.0,9893.0,49200.0,At 362,31.583210090470402,78.4024558780737,0.35818453334013,11663.0
MONARAGALA,7733.0,5943.0,724.0,7691.0,5806.0,688.0,5294.0,4646.0,3089.0,4922.0,13902.0,68422.0,Bw 372,31.677500039018113,72.54729108871857,0.31281733300427883,14400.0
RATNAPURA,3953.0,5188.0,2321.0,3931.0,5113.0,2280.0,6073.0,3696.0,3109.0,4403.0,9626.0,42382.0,Suwandel,31.40405073154314,87.9818545006204,0.22553971767208583,11462.0
COLOMBO,256.0,558.0,2050.0,256.0,558.0,2050.0,3699.0,3496.0,3506.0,3521.0,2434.0,8571.0,Bg 310,27.59111090178811,85.98191668501225,0.25370879805117585,2864.0
GAMPAHA,1544.0,3277.0,4893.0,1461.0,3231.0,4871.0,4423.0,4156.0,4240.0,4240.0,8128.0,34460.0,Ld 368,25.108196315702074,61.356560103185686,0.2044793150404277,9714.0
KALUTARA,107.0,1304.0,8145.0,107.0,1303.0,8080.0,3644.0,3523.0,3660.0,3641.0,8756.0,31876.0,Bg 252,31.49822993811408,60.79100923491756,0.42253516840008853,9556.0
KANDY,4201.0,4797.0,2006.0,4200.0,4793.0,2000.0,5777.0,3229.0,4432.0,4422.0,8694.0,38440.0,Bg 379-2,27.9972890382212,71.29390100634149,0.32501753842983616,11004.0
MATALE,6877.0,7076.0,4505.0,6846.0,7044.0,4496.0,5415.0,5162.0,5406.0,5316.0,16534.0,87897.0,Bg 403,31.766583733305687,84.31659992345499,0.27025542502909194,18458.0
NUWARAELIYA,420.0,1310.0,5.0,420.0,1310.0,5.0,3605.0,3607.0,4034.0,3608.0,977.0,3525.0,Bw 400,31.74533983962477,89.61828387944834,0.2886017410932398,1735.0
GALLE,205.0,1448.0,6296.0,205.0,1448.0,6286.0,4000.0,3845.0,4011.0,3980.0,6213.0,24728.0,Bg 369,30.97106618827152,64.51250673310585,0.4341850018835446,7949.0
MATARA,3898.0,2767.0,5081.0,3855.0,2697.0,5044.0,4628.0,3553.0,3498.0,3886.0,9155.0,35581.0,Bg 300,27.0611422444871,77.82392146056405,0.19600542093482407,11746.0
HAMBANTOTA,28003.0,5827.0,1148.0,27970.0,5821.0,1142.0,6568.0,5478.0,3992.0,6302.0,30521.0,192353.0,Moddaikaruppan,27.695684100213477,71.42672569893065,0.3258689496050392,34978.0
MANNAR,15289.0,3999.0,79.0,15289.0,3999.0,79.0,4880.0,4651.0,3447.0,4827.0,18492.0,89263.0,Bw 367,30.957956700618,89.09743193443809,0.3017666036653398,19367.0
VAVUNIYA,4366.0,12406.0,2469.0,4360.0,12292.0,2465.0,4699.0,5034.0,4982.0,4951.0,18036.0,89294.0,Bw 372,27.218454036093945,85.26356769407126,0.3334362706303944,19241.0
MULATIVU,7579.0,4355.0,6325.0,7579.0,4355.0,6325.0,4711.0,4806.0,4452.0,4644.0,17228.0,80008.0,Bg 359,26.186449226802647,85.14986114133413,0.15543305514625214,18259.0
KILLINOCHCHI,12088.0,553.0,14524.0,12088.0,553.0,14524.0,3778.0,3329.0,4505.0,4158.0,24106.0,100224.0,Maa Wee,28.897608837208452,74.06079479384911,0.4116371726832455,27165.0
BATTICALOA,24476.0,3811.0,38709.0,20161.0,3518.0,37565.0,3824.0,4059.0,3735.0,3783.0,54055.0,204489.0,Bw 361,31.553083419125468,72.44458507012996,0.42963548474508373,66996.0
AMPARA,59732.0,4448.0,15237.0,58060.0,4123.0,14611.0,4986.0,3965.0,4107.0,4764.0,73392.0,349626.0,Bg 366,29.87220857672481,68.20221215792118,0.3195399550767627,79417.0
TRINCOMALEE,20399.0,6887.0,10999.0,20399.0,6887.0,10999.0,4752.0,4418.0,3647.0,4375.0,35567.0,155592.0,Bg 252,28.990428190625554,61.691264899527816,0.35899524716306774,38285.0
KURUNEGALA,17945.0,37748.0,26785.0,17871.0,37501.0,26639.0,5733.0,4748.0,4036.0,4732.0,82011.0,388043.0,At 354,25.68023545639538,85.9416712876516,0.4267498143531887,82478.0
PUTTALAM,7905.0,11022.0,1637.0,7359.0,10718.0,1511.0,4711.0,4629.0,4526.0,4652.0,16649.0,77449.0,Bg 359,29.30505058689419,84.38703027390233,0.3621715902940196,20564.0
ANURADHAPURA,54056.0,52287.0,12559.0,53756.0,52058.0,12514.0,6215.0,5118.0,4716.0,5574.0,95148.0,530356.0,Ld 253,31.930376950729844,89.99153019858392,0.1957617128742784,118902.0
POLONNARUWA,56959.0,7431.0,2626.0,56734.0,7326.0,2534.0,5341.0,6272.0,4305.0,5404.0,58909.0,318352.0,At 362,25.980588106655667,89.89910511221716,0.322886508050044,67016.0
BADULLA,10572.0,9730.0,5339.0,10572.0,9730.0,5339.0,4501.0,4532.0,3986.0,4405.0,21795.0,96017.0,Bw 364,28.628307566546155,76.66295116807882,0.3320145139148568,25641.0
MONARAGALA,8963.0,10888.0,14505.0,8619.0,10721.0,14313.0,6324.0,4688.0,3955.0,4796.0,32981.0,158159.0,Bg 403,31.14161150349569,83.06962245541531,0.2772392013907158,34356.0
RATNAPURA,3904.0,4716.0,2136.0,3902.0,4708.0,2127.0,6096.0,4781.0,3964.0,5097.0,9127.0,46521.0,Bw 367,30.185380324279432,88.34297189647285,0.3709332706874169,10756.0
COLOMBO,286.0,327.0,1908.0,253.0,319.0,1776.0,2606.0,2795.0,2372.0,2455.0,1996.0,4899.0,Bg 374,29.879110186966876,85.48942172032234,0.4303101044307045,2521.0
GAMPAHA,1811.0,2777.0,5366.0,1114.0,2442.0,4936.0,3389.0,3118.0,2838.0,2991.0,7218.0,21588.0,Pachchaperumal,29.917388587909766,67.42044305229592,0.4276705538720329,9954.0
KALUTARA,163.0,1408.0,8195.0,162.0,1360.0,7907.0,2012.0,2696.0,3130.0,3048.0,8698.0,26515.0,At 354,27.516438058538284,73.5163240593028,0.2852518114212397,9766.0
KANDY,3936.0,3124.0,2218.0,3934.0,3109.0,2213.0,2579.0,3077.0,3411.0,2945.0,7320.0,21559.0,Bw 312,27.055142909851455,63.87478245454485,0.1839714137522266,9278.0
MATALE,7001.0,4486.0,856.0,6997.0,4473.0,855.0,5102.0,4063.0,3860.0,4639.0,11084.0,51415.0,Kuruluthuda,30.665528088349596,88.62153081776167,0.44545235968870045,12343.0
NUWARAELIYA,490.0,2082.0,1.0,490.0,2082.0,1.0,4658.0,3745.0,3301.0,3917.0,1450.0,5680.0,Murungakayan,30.670793762754265,78.1852390335264,0.4016694259337803,2573.0
GALLE,100.0,989.0,7459.0,97.0,953.0,7276.0,2734.0,1894.0,3030.0,2897.0,6515.0,18873.0,Bg 366,31.069506230060725,66.85928416510389,0.18739880436098005,8548.0
MATARA,4316.0,3316.0,6450.0,4218.0,3250.0,6394.0,3977.0,3869.0,3489.0,3727.0,10944.0,40787.0,At 362,31.3926838678953,80.1510205321757,0.4262525647852118,14082.0
HAMBANTOTA,28735.0,4662.0,1093.0,28735.0,4662.0,1093.0,6051.0,4902.0,3464.0,5814.0,30134.0,175190.0,At 307,28.579396792026564,78.54384721373688,0.41096890861863855,34490.0
MANNAR,2210.0,530.0,2786.0,2210.0,522.0,2767.0,5182.0,3864.0,3301.0,4931.0,2608.0,12860.0,Bg 366,28.510614062810397,70.74488154098522,0.3056514171378216,5526.0
VAVUNIYA,2136.0,2876.0,2786.0,2136.0,2866.0,2767.0,5381.0,5829.0,3301.0,5638.0,4719.0,26606.0,Bg 406,30.588066252767426,63.40672776598887,0.3273826307234788,7798.0
MULATIVU,5875.0,1508.0,2786.0,5875.0,1508.0,2767.0,5322.0,5152.0,3301.0,5287.0,6966.0,36832.0,Bw 361,29.549747515444356,80.14719586778399,0.26970081116103906,10169.0
KILLINOCHCHI,9961.0,110.0,2786.0,9961.0,110.0,2767.0,4634.0,3308.0,3301.0,4620.0,8937.0,41288.0,Ld 253,29.913768140803924,75.6092310271138,0.1664284916466094,12857.0
BATTICALOA,22103.0,4401.0,1998.0,22103.0,4401.0,1998.0,4591.0,4709.0,5388.0,4665.0,25156.0,117353.0,Kalu Heenati,30.570548686052707,83.16955175206918,0.2505591724937703,28502.0
AMPARA,59755.0,2468.0,637.0,59682.0,2468.0,626.0,5247.0,4785.0,5277.0,5229.0,59995.0,313708.0,Bg 358,31.230037392722963,75.6049050333598,0.39085603457940343,62860.0
TRINCOMALEE,20223.0,4501.0,515.0,20223.0,4501.0,515.0,5257.0,5306.0,5311.0,5267.0,23447.0,123491.0,Kuruluthuda,27.36596609796075,85.5654450095562,0.15138960690138084,25239.0
KURUNEGALA,15650.0,31749.0,21174.0,15601.0,31442.0,20945.0,4667.0,3897.0,3736.0,4024.0,67988.0,273572.0,At 354,27.62908066847961,76.55720516323457,0.25004975150734327,68573.0
PUTTALAM,8194.0,9200.0,1208.0,7808.0,8568.0,1115.0,4474.0,3554.0,3326.0,3950.0,14868.0,58728.0,Attakkari,25.657873578886083,76.82813914606159,0.269450608077283,18602.0
ANURADHAPURA,40880.0,20703.0,521.0,40870.0,20626.0,521.0,4789.0,4546.0,2765.0,4691.0,49868.0,233948.0,Bg 369,29.047960986973216,86.29960807975036,0.3112186808813769,62104.0
POLONNARUWA,56994.0,5632.0,2786.0,56994.0,5405.0,2767.0,5483.0,4995.0,3301.0,5441.0,55199.0,300317.0,Bg 374,25.251595916577195,72.10448598637191,0.4259566849238282,65412.0
BADULLA,7855.0,4186.0,57.0,7855.0,4186.0,57.0,4996.0,5260.0,5135.0,5088.0,10284.0,52327.0,At 354,28.259186126927222,64.02045685351922,0.2539037983097884,12098.0
MONARAGALA,7972.0,7090.0,790.0,7959.0,7018.0,782.0,6096.0,4060.0,2965.0,5034.0,15444.0,77752.0,Bg 250,28.798512442953037,60.86348028940017,0.25408596056886834,15852.0
RATNAPURA,4023.0,4916.0,1834.0,4017.0,4907.0,1819.0,4873.0,3808.0,3296.0,4119.0,9131.0,37617.0,Murungakayan,27.005788764897993,82.65411767020856,0.3712503744329245,10773.0
COLOMBO,103.0,129.0,660.0,91.0,120.0,577.0,3534.0,3628.0,2872.0,3064.0,670.0,2054.0,Bw 372,29.135832823983076,78.60928654060393,0.28566538226694216,892.0
GAMPAHA,1341.0,1917.0,2242.0,738.0,1496.0,1949.0,4031.0,2957.0,3178.0,3250.0,3556.0,11555.0,Bw 400,25.213501749573346,81.12239304297671,0.2173814468819946,5500.0
KALUTARA,98.0,817.0,4161.0,98.0,762.0,3882.0,3075.0,2926.0,2838.0,2857.0,4375.0,12502.0,Bw 361,25.2614373212445,66.38892484526733,0.285731854839808,5076.0
KANDY,3647.0,1488.0,723.0,3647.0,1465.0,705.0,3428.0,3060.0,3953.0,3399.0,4599.0,15632.0,Bg 251,30.758203924617607,64.0911442676031,0.19225710611393995,5858.0
MATALE,3390.0,990.0,241.0,3366.0,922.0,204.0,5524.0,4572.0,3996.0,5259.0,4040.0,21247.0,Ld 253,27.52133448987884,60.43633997003646,0.202916095951867,4621.0
NUWARAELIYA,263.0,1224.0,2786.0,263.0,1224.0,2767.0,2390.0,2784.0,3301.0,2715.0,838.0,2274.0,Bg 252,25.889423588563194,70.51762676419791,0.29951033182184394,4273.0
GALLE,20.0,537.0,2776.0,15.0,380.0,2275.0,2672.0,3199.0,2983.0,3012.0,2090.0,6295.0,Bg 406,28.65570282038363,77.69753060563899,0.2756776348513644,3333.0
MATARA,3876.0,2804.0,4626.0,2806.0,2098.0,3846.0,3577.0,3048.0,3100.0,3240.0,6908.0,22383.0,Bg 369,30.389954871690275,71.76732135299197,0.4244537703204301,11306.0
HAMBANTOTA,27955.0,3974.0,773.0,27645.0,3858.0,692.0,5877.0,5019.0,3632.0,5726.0,28129.0,161070.0,Bg 352,26.5107471924779,73.12424766071187,0.25871816973498996,32702.0
MANNAR,909.0,16.0,2786.0,902.0,13.0,2767.0,5527.0,4634.0,3301.0,5514.0,873.0,4815.0,Bg 252,29.360233330733003,87.12476083481245,0.32417650508341306,3711.0
VAVUNIYA,1514.0,850.0,2786.0,1509.0,809.0,2767.0,5662.0,4807.0,3301.0,5363.0,2187.0,11730.0,Bw 367,25.597432254956377,70.44766401069901,0.33967928637585915,5150.0
MULATIVU,4581.0,713.0,2786.0,4581.0,681.0,2767.0,5116.0,4846.0,3301.0,5081.0,4965.0,25228.0,Bg 359,25.361772048180253,75.41968467479433,0.15392833697650007,8080.0
KILLINOCHCHI,9469.0,112.0,2786.0,9469.0,112.0,2767.0,5183.0,5159.0,3301.0,5183.0,8502.0,44063.0,Bg 251,28.719482420977037,83.5095903822343,0.3490612116050132,12367.0
BATTICALOA,20773.0,4673.0,1998.0,18847.0,3832.0,1826.0,3568.0,4538.0,3067.0,3683.0,21627.0,79649.0,Bg 352,28.784445851270746,71.8962834696381,0.20341079006092544,27444.0
AMPARA,53948.0,1855.0,252.0,53349.0,1524.0,244.0,5407.0,4559.0,3989.0,5377.0,52675.0,283226.0,Bg 374,29.462009310487446,78.66260100683621,0.4383210952408366,56055.0
TRINCOMALEE,15252.0,3123.0,2786.0,15252.0,2847.0,2767.0,5194.0,3823.0,3301.0,4978.0,16814.0,83700.0,Bg 251,30.08263933605863,85.87091126240236,0.1945988183259339,21161.0
KURUNEGALA,9591.0,15801.0,13756.0,9252.0,12749.0,8763.0,4716.0,4073.0,3191.0,4015.0,30763.0,123518.0,Bg 94-1,31.830964556237742,88.48561870972927,0.27438723711810714,39148.0
PUTTALAM,5002.0,2864.0,594.0,4624.0,2091.0,446.0,5632.0,2292.0,2771.0,4479.0,6087.0,27262.0,Bw 312,28.614102438108368,64.41220442787113,0.17560490042359317,8460.0
ANURADHAPURA,18936.0,14458.0,18.0,18236.0,13837.0,18.0,5271.0,4920.0,3870.0,5119.0,25805.0,132103.0,Bg 374,27.260695310588723,87.79762875484484,0.4490622755537842,33412.0
POLONNARUWA,56471.0,5153.0,2786.0,56419.0,5010.0,2767.0,5522.0,5392.0,3301.0,5511.0,54340.0,299468.0,Pachchaperumal,30.566303363380925,74.76348879238614,0.3006585030993728,64410.0
BADULLA,8072.0,3171.0,27.0,7845.0,3116.0,27.0,5471.0,4262.0,2152.0,5120.0,9340.0,47817.0,Pachchaperumal,26.89582575883452,67.74733164896875,0.3286155051960131,11270.0
MONARAGALA,7786.0,5940.0,420.0,7478.0,5356.0,353.0,5549.0,4670.0,2936.0,5122.0,12924.0,66200.0,Suwandel,28.072799944939455,73.77407268714784,0.17012294321652824,14146.0
RATNAPURA,3585.0,3159.0,605.0,3567.0,3065.0,552.0,5665.0,4177.0,3106.0,4834.0,6106.0,29516.0,Bg 360,25.549194669395863,89.40097725856431,0.37498814111975337,7349.0
COLOMBO,188.0,163.0,1228.0,178.0,163.0,1197.0,2322.0,1930.0,1929.0,1975.0,1307.0,2582.0,Maa Wee,25.177455203908202,74.77854281978608,0.21297167792867572,1579.0
GAMPAHA,1314.0,953.0,3750.0,1077.0,940.0,3715.0,2736.0,2440.0,2957.0,2831.0,4872.0,13793.0,Bg 403,31.738538902745475,69.86254830862525,0.4194162868322142,6017.0
KALUTARA,53.0,728.0,5184.0,53.0,720.0,5166.0,2917.0,2661.0,2697.0,2694.0,5478.0,14759.0,Bw 367,30.851860843585442,79.00202562950177,0.21154189214460214,5965.0
KANDY,4178.0,2743.0,1925.0,4176.0,2739.0,1925.0,2651.0,3107.0,2956.0,2859.0,6990.0,19995.0,Bg 359,29.871819442655884,67.2043685633458,0.20720631619909996,8846.0
MATALE,6653.0,3491.0,525.0,6653.0,3491.0,525.0,4893.0,3962.0,3103.0,4500.0,9595.0,43178.0,Bg 374,27.86267061089989,62.27589984325992,0.16096490035442845,10669.0
NUWARAELIYA,427.0,1694.0,11.0,427.0,1693.0,11.0,4357.0,3791.0,3858.0,3905.0,1201.0,4690.0,Bg 310,26.21306024049592,63.866391657319475,0.2916200835329998,2132.0
MATARA,2896.0,3178.0,4575.0,2896.0,3178.0,4575.0,3166.0,3003.0,2745.0,2936.0,8407.0,24687.0,Kalu Heenati,26.095059298697603,63.84137516873317,0.31945233997878497,10649.0
HAMBANTOTA,29175.0,5131.0,947.0,29173.0,5128.0,945.0,5624.0,4414.0,3115.0,5381.0,30794.0,165702.0,Suwandel,26.75170028715217,64.55708080536883,0.1697125918285057,35253.0
MANNAR,2275.0,705.0,2786.0,2274.0,704.0,2767.0,2060.0,2583.0,3301.0,2184.0,2843.0,6210.0,Bg 250,28.844586652942844,64.1648151794823,0.3826582850085032,5766.0
VAVUNIYA,3002.0,2514.0,2786.0,3002.0,2514.0,2767.0,4305.0,4021.0,3301.0,4175.0,5204.0,21731.0,Bg 251,30.002171458900435,79.22624234409643,0.2859866504244083,8302.0
MULATIVU,6348.0,1874.0,2786.0,6348.0,1858.0,2767.0,4008.0,4846.0,3301.0,4198.0,7743.0,32502.0,Moddaikaruppan,29.62138163702412,65.45640253197435,0.307317080798274,11008.0
KILLINOCHCHI,9099.0,110.0,2786.0,9099.0,110.0,2767.0,4335.0,4669.0,3301.0,4339.0,8173.0,35463.0,Pachchaperumal,26.9595372786216,70.3700184997159,0.28222882408146843,11995.0
BATTICALOA,29152.0,4430.0,70.0,29152.0,4430.0,70.0,3629.0,3331.0,3146.0,3589.0,29701.0,106587.0,Murungakayan,31.68405696464236,86.90365229718036,0.2702289182625978,33652.0
AMPARA,60453.0,2270.0,442.0,60449.0,2270.0,442.0,5571.0,4860.0,3710.0,5532.0,60363.0,333935.0,Ld 368,30.16527841687038,74.21884920788617,0.3178920993924654,63165.0
TRINCOMALEE,24761.0,4012.0,2786.0,24761.0,4012.0,2767.0,5050.0,5067.0,3301.0,5053.0,26730.0,135054.0,Bg 379-2,28.880478367579805,80.02673215563081,0.19657207377921376,31559.0
KURUNEGALA,14542.0,26293.0,16267.0,14474.0,26044.0,16179.0,4396.0,3773.0,2989.0,3708.0,56696.0,210243.0,Pachchaperumal,29.282045223640466,65.1695961360489,0.20457843914858134,57102.0
PUTTALAM,7073.0,8008.0,1013.0,6726.0,7551.0,913.0,3804.0,3496.0,3115.0,3609.0,12911.0,46600.0,Bg 352,27.93720043699453,65.76867056426012,0.40853568630405523,16094.0
ANURADHAPURA,40585.0,20741.0,373.0,40579.0,20708.0,373.0,5232.0,4161.0,3657.0,4863.0,49580.0,241103.0,Pachchaperumal,26.7341169265081,61.226058487994365,0.43383463864008986,61699.0
POLONNARUWA,58751.0,7863.0,2786.0,58751.0,7863.0,2767.0,5791.0,5154.0,3301.0,5716.0,58927.0,336801.0,Moddaikaruppan,27.49180875055883,65.06805189216493,0.2619927948839259,69400.0
BADULLA,8194.0,3986.0,13.0,8194.0,3970.0,13.0,5117.0,4735.0,4311.0,4992.0,10351.0,51667.0,At 354,30.304922773250585,68.35771017095875,0.23122340194306612,12193.0
MONARAGALA,8391.0,6968.0,1100.0,8354.0,6967.0,1099.0,4782.0,4102.0,2403.0,4334.0,16091.0,69742.0,Bg 300,25.10075442040829,65.3103145283024,0.34319986297170474,16459.0
RATNAPURA,4479.0,4485.0,1367.0,4479.0,4485.0,1367.0,6678.0,3119.0,2394.0,4566.0,8781.0,40096.0,Bg 352,25.812508483548413,62.66107601271167,0.2726202513294289,10331.0
COLOMBO,307.0,727.0,2823.0,307.0,727.0,2821.0,3602.0,3694.0,3744.0,3723.0,3276.0,12198.0,Bg 360,25.322018494152267,63.61907613301803,0.15761590669810346,3857.0
GAMPAHA,1858.0,4062.0,6530.0,1841.0,4038.0,6477.0,4137.0,3838.0,3587.0,3751.0,10502.0,39390.0,Ld 253,25.28510161623279,73.82336304098177,0.1968457792098571,12450.0
KALUTARA,220.0,1681.0,11118.0,220.0,1662.0,11028.0,3273.0,3340.0,3362.0,3358.0,11910.0,39990.0,At 354,30.98822408807705,66.19001155217377,0.3647916686542193,13019.0
KANDY,4242.0,5293.0,2651.0,4242.0,5292.0,2650.0,6162.0,3824.0,4201.0,4720.0,9635.0,45478.0,Maa Wee,29.925605015660167,70.92809583144226,0.3476771825730454,12186.0
MATALE,7303.0,7225.0,4380.0,7301.0,7218.0,4363.0,5990.0,5605.0,5237.0,5669.0,16980.0,96263.0,Bg 379-2,28.319216803611276,75.1025181256457,0.15812879775104505,18908.0
NUWARAELIYA,865.0,4004.0,8.0,865.0,4004.0,8.0,4420.0,5154.0,2872.0,5020.0,2748.0,13798.0,Bg 359,25.684839124557012,80.71184485888097,0.21659164857988483,4877.0
GALLE,255.0,2196.0,11060.0,248.0,2163.0,10935.0,2340.0,3361.0,3435.0,3403.0,10444.0,35538.0,Bg 369,28.441311125817826,61.17936419523297,0.21932243897642142,13511.0
MATARA,4312.0,3291.0,6511.0,4264.0,3170.0,6495.0,3770.0,3716.0,3401.0,3585.0,10997.0,39430.0,Bg 369,28.31430239546396,83.98231196727127,0.35156782307961854,14114.0
HAMBANTOTA,28878.0,4886.0,1148.0,28878.0,4866.0,1146.0,6224.0,4494.0,3197.0,5883.0,30483.0,179336.0,Ld 253,26.212413089370106,78.83701168472723,0.15591316132630925,34912.0
MANNAR,16069.0,4057.0,116.0,16062.0,4008.0,74.0,5500.0,4177.0,3075.0,5228.0,19234.0,100561.0,At 353,28.03696154466581,62.45277095846616,0.18123257459537215,20242.0
VAVUNIYA,4412.0,12249.0,2715.0,4400.0,12147.0,2715.0,4787.0,4105.0,4050.0,4253.0,18174.0,77297.0,H4,27.789533140781614,86.20735872320331,0.38997482561195684,19376.0
MULATIVU,7965.0,5315.0,9501.0,7928.0,5315.0,9501.0,4293.0,5112.0,3770.0,4266.0,21459.0,91546.0,Maa Wee,29.310950686365516,87.6261720159544,0.20356339861630007,22781.0
KILLINOCHCHI,12171.0,578.0,14609.0,12171.0,578.0,14609.0,3439.0,3712.0,3542.0,3500.0,24277.0,84963.0,H4,29.445655556073508,61.83233879564591,0.34582383235556247,27358.0
BATTICALOA,24514.0,3825.0,38735.0,23698.0,3815.0,38117.0,3810.0,4134.0,3776.0,3809.0,57925.0,220640.0,Bg 366,25.317128068404312,68.30632944441611,0.22145483431401797,67074.0
AMPARA,60673.0,4471.0,16005.0,60426.0,4396.0,15110.0,4996.0,5083.0,3826.0,4780.0,76391.0,365123.0,Bg 450,27.6222883023853,84.18603839379185,0.17983241782780354,81149.0
TRINCOMALEE,21161.0,7530.0,11147.0,21161.0,7530.0,11147.0,4450.0,4295.0,3839.0,4250.0,37009.0,157272.0,Moddaikaruppan,29.381019409999656,82.44779071150975,0.22295165729983624,39838.0
