District,Zone,Season,Salinity_Prone,Iron_Toxicity_Prone,Variety_Code
Polonnaruwa,Dry Zone,Yala,No,No,Bg 360
Matara,Wet Zone,Yala,Yes,No,Bg 369
Ampara,Dry Zone,Maha,No,No,At 303
Anuradhapura,Dry Zone,Maha,Yes,No,At 353
Hambantota,Dry Zone,Annual,No,Yes,Bw 372
Matara,Wet Zone,Yala,No,No,At 303
Vavuniya,Dry Zone,Maha,No,No,Bg 359
Kandy,Intermediate Zone,Yala,No,No,At 303
Mullaitivu,Dry Zone,Maha,No,No,Bg 357
Matara,Wet Zone,Maha,Yes,Yes,Bw 400
Ampara,Dry Zone,Yala,No,No,Bg 357
Badulla,Intermediate Zone,Yala,No,No,Bg 374
Hambantota,Dry Zone,Maha,No,Yes,Bw 312
Kurunegala,Intermediate Zone,Yala,Yes,No,Bg 310
Matara,Wet Zone,Maha,No,No,Ld 368
Ampara,Dry Zone,Maha,No,No,Bg 300
Kegalle,Wet Zone,Yala,Yes,No,At 354
Kegalle,Wet Zone,Yala,No,No,Bg 374
Kalutara,Wet Zone,Maha,No,No,Bg 360
Kandy,Intermediate Zone,Maha,No,No,Bg 250
Galle,Wet Zone,Maha,No,Yes,Bw 312
Mannar,Dry Zone,Yala,No,No,Attakkari
Badulla,Intermediate Zone,Yala,No,No,Bg 360
Puttalam,Dry Zone,Yala,No,No,Bg 300
Galle,Wet Zone,Annual,No,No,At 303
Trincomalee,Dry Zone,Maha,Yes,No,At 354
Polonnaruwa,Dry Zone,Yala,No,Yes,Bw 364
Trincomalee,Dry Zone,Yala,No,No,Bg 250
Trincomalee,Dry Zone,Maha,No,No,Bg 360
Killinochchi,Dry Zone,Maha,No,No,Bg 352
Matale,Intermediate Zone,Maha,Yes,No,At 354
Matale,Intermediate Zone,Maha,No,Yes,Bw 364
Galle,Wet Zone,Annual,Yes,No,Bg 310
Kandy,Intermediate Zone,Yala,Yes,Yes,Bw 400
Anuradhapura,Dry Zone,Annual,No,Yes,Bw 364
Anuradhapura,Dry Zone,Yala,No,No,At 362
Kalutara,Wet Zone,Yala,No,No,Bg 359
Vavuniya,Dry Zone,Maha,No,No,At 362
Ampara,Dry Zone,Maha,No,Yes,Bw 364
Mullaitivu,Dry Zone,Maha,No,No,At 307
Ratnapura,Wet Zone,Maha,Yes,No,Bg 310
Hambantota,Dry Zone,Maha,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Annual,Yes,Yes,Bw 400
Vavuniya,Dry Zone,Maha,No,No,Attakkari
Vavuniya,Dry Zone,Maha,No,Yes,Bw 372
Galle,Wet Zone,Yala,No,Yes,Bw 364
Mannar,Dry Zone,Yala,No,No,Bg 360
Kandy,Intermediate Zone,Maha,No,Yes,Bw 364
Hambantota,Dry Zone,Maha,No,No,Bg 360
Ratnapura,Wet Zone,Yala,No,No,Attakkari
Kurunegala,Intermediate Zone,Yala,No,No,Bg 359
Gampaha,Wet Zone,Annual,No,No,Bg 374
Kalutara,Wet Zone,Maha,No,Yes,Bw 372
Monaragala,Intermediate Zone,Maha,No,No,Bg 357
Trincomalee,Dry Zone,Annual,Yes,No,At 353
Anuradhapura,Dry Zone,Yala,Yes,No,At 354
Galle,Wet Zone,Yala,Yes,No,Bg 310
Kalutara,Wet Zone,Maha,Yes,No,At 354
Kurunegala,Intermediate Zone,Yala,No,Yes,Bw 367
Kandy,Intermediate Zone,Maha,No,No,At 362
Hambantota,Dry Zone,Annual,No,No,At 307
Vavuniya,Dry Zone,Yala,Yes,Yes,Bw 400
Kalutara,Wet Zone,Yala,No,No,At 307
Kegalle,Wet Zone,Annual,No,No,At 303
Mannar,Dry Zone,Maha,No,No,Bg 379-2
Matara,Wet Zone,Annual,No,No,Bg 250
Hambantota,Dry Zone,Yala,No,No,Ld 368
Polonnaruwa,Dry Zone,Maha,No,No,At 362
Monaragala,Intermediate Zone,Yala,Yes,No,Bg 310
Trincomalee,Dry Zone,Annual,No,No,Bg 94-1
Vavuniya,Dry Zone,Maha,No,No,Bg 94-1
Polonnaruwa,Dry Zone,Yala,No,No,At 307
Mannar,Dry Zone,Annual,Yes,No,At 353
Mullaitivu,Dry Zone,Yala,No,No,At 307
Anuradhapura,Dry Zone,Yala,No,Yes,Bw 312
Kegalle,Wet Zone,Yala,No,Yes,Bw 372
Anuradhapura,Dry Zone,Maha,No,No,At 303
Trincomalee,Dry Zone,Maha,Yes,No,Bg 369
Trincomalee,Dry Zone,Yala,No,No,Bg 357
Badulla,Intermediate Zone,Annual,No,No,Bg 359
Anuradhapura,Dry Zone,Yala,No,Yes,Bw 372
Ampara,Dry Zone,Maha,Yes,No,At 354
Anuradhapura,Dry Zone,Maha,Yes,No,At 354
Vavuniya,Dry Zone,Yala,No,No,Ld 368
Ratnapura,Wet Zone,Maha,No,No,Bg 359
Ampara,Dry Zone,Maha,Yes,No,Bg 369
Mannar,Dry Zone,Maha,No,No,Bg 300
Puttalam,Dry Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Maha,No,No,Bg 357
Trincomalee,Dry Zone,Maha,No,No,Bg 300
Gampaha,Wet Zone,Yala,No,No,Bg 374
Polonnaruwa,Dry Zone,Maha,No,No,Bg 374
Killinochchi,Dry Zone,Maha,Yes,Yes,Bw 400
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 364
Matale,Intermediate Zone,Maha,Yes,No,At 354
Kalutara,Wet Zone,Yala,No,No,Bg 359
Badulla,Intermediate Zone,Maha,No,No,Bg 250
Gampaha,Wet Zone,Yala,No,No,Ld 368
Monaragala,Intermediate Zone,Yala,No,Yes,Bw 372
Kegalle,Wet Zone,Maha,No,No,Bg 359
Ampara,Dry Zone,Yala,No,No,At 307
Kurunegala,Intermediate Zone,Maha,No,Yes,Bw 367
Galle,Wet Zone,Yala,No,Yes,Bw 312
Trincomalee,Dry Zone,Yala,No,No,Bg 357
Kalutara,Wet Zone,Maha,No,Yes,Bw 372
Hambantota,Dry Zone,Maha,No,No,Bg 94-1
Kegalle,Wet Zone,Maha,No,No,Bg 300
Mannar,Dry Zone,Yala,No,No,Bg 357
Ampara,Dry Zone,Annual,Yes,Yes,Bw 400
Anuradhapura,Dry Zone,Yala,No,No,At 303
Polonnaruwa,Dry Zone,Yala,Yes,No,Bg 310
Badulla,Intermediate Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Maha,Yes,Yes,Bw 400
Gampaha,Wet Zone,Maha,Yes,No,Bg 310
Batticaloa,Dry Zone,Annual,No,Yes,Bw 364
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 364
Kegalle,Wet Zone,Yala,Yes,No,Bg 310
Kalutara,Wet Zone,Maha,No,No,Bg 250
Trincomalee,Dry Zone,Maha,No,No,Bg 374
Anuradhapura,Dry Zone,Maha,Yes,No,Bg 369
Matale,Intermediate Zone,Yala,No,No,Bg 360
Anuradhapura,Dry Zone,Maha,Yes,No,At 353
Batticaloa,Dry Zone,Yala,No,No,Attakkari
Kalutara,Wet Zone,Annual,No,Yes,Bw 312
Ampara,Dry Zone,Yala,No,No,Bg 360
Kegalle,Wet Zone,Maha,No,No,At 362
Hambantota,Dry Zone,Maha,No,No,At 303
Killinochchi,Dry Zone,Yala,No,No,At 307
Kurunegala,Intermediate Zone,Maha,No,No,At 362
Anuradhapura,Dry Zone,Maha,No,No,Attakkari
Anuradhapura,Dry Zone,Maha,No,No,Bg 250
Monaragala,Intermediate Zone,Yala,No,Yes,Bw 364
Kurunegala,Intermediate Zone,Yala,No,Yes,Bw 364
Anuradhapura,Dry Zone,Maha,No,No,Bg 379-2
Batticaloa,Dry Zone,Yala,No,No,Bg 352
Killinochchi,Dry Zone,Maha,Yes,No,At 354
Anuradhapura,Dry Zone,Maha,Yes,No,At 354
Galle,Wet Zone,Yala,Yes,Yes,Bw 400
Trincomalee,Dry Zone,Maha,No,No,Bg 250
Mannar,Dry Zone,Maha,No,Yes,Bw 364
Trincomalee,Dry Zone,Annual,No,No,Bg 379-2
Batticaloa,Dry Zone,Maha,No,No,At 362
Kalutara,Wet Zone,Yala,No,No,At 307
Monaragala,Intermediate Zone,Yala,No,No,Bg 374
Trincomalee,Dry Zone,Maha,Yes,Yes,Bw 400
Badulla,Intermediate Zone,Maha,Yes,No,At 354
Kegalle,Wet Zone,Yala,No,No,Bg 374
Matara,Wet Zone,Maha,Yes,No,Bg 310
Kegalle,Wet Zone,Maha,No,No,Attakkari
Badulla,Intermediate Zone,Yala,No,No,At 303
Badulla,Intermediate Zone,Maha,No,Yes,Bw 367
Batticaloa,Dry Zone,Yala,No,No,Bg 300
Vavuniya,Dry Zone,Maha,No,No,Bg 374
Kurunegala,Intermediate Zone,Yala,No,No,Bg 379-2
Gampaha,Wet Zone,Yala,Yes,No,At 354
Kurunegala,Intermediate Zone,Maha,No,Yes,Bw 372
Kegalle,Wet Zone,Yala,No,No,At 362
Mannar,Dry Zone,Yala,Yes,Yes,Bw 400
Vavuniya,Dry Zone,Maha,No,No,At 307
Mullaitivu,Dry Zone,Maha,No,No,Bg 352
Kegalle,Wet Zone,Maha,No,Yes,Bw 372
Killinochchi,Dry Zone,Yala,No,No,Bg 352
Matale,Intermediate Zone,Maha,No,No,Bg 357
Mullaitivu,Dry Zone,Maha,No,No,Bg 366
Hambantota,Dry Zone,Maha,Yes,Yes,Bw 400
Kegalle,Wet Zone,Yala,No,No,Bg 250
Puttalam,Dry Zone,Maha,No,No,At 362
Matara,Wet Zone,Annual,No,No,Bg 374
Matara,Wet Zone,Yala,No,No,Attakkari
Ratnapura,Wet Zone,Maha,No,Yes,Bw 364
Mullaitivu,Dry Zone,Maha,No,No,Bg 300
Matale,Intermediate Zone,Maha,No,No,Bg 300
Trincomalee,Dry Zone,Maha,Yes,No,At 353
Ratnapura,Wet Zone,Annual,No,No,Bg 360
Vavuniya,Dry Zone,Maha,No,No,Bg 357
Vavuniya,Dry Zone,Maha,No,Yes,Bw 312
Ampara,Dry Zone,Yala,No,No,At 307
Gampaha,Wet Zone,Yala,No,No,Bg 359
Ampara,Dry Zone,Yala,No,No,Attakkari
Ratnapura,Wet Zone,Maha,No,No,Bg 357
Trincomalee,Dry Zone,Maha,Yes,No,Bg 369
Kegalle,Wet Zone,Annual,No,No,At 303
Monaragala,Intermediate Zone,Maha,No,No,Bg 300
Matale,Intermediate Zone,Maha,No,No,At 307
Matara,Wet Zone,Annual,No,No,Bg 300
Ratnapura,Wet Zone,Yala,Yes,No,Bg 310
Monaragala,Intermediate Zone,Maha,No,No,Bg 374
Hambantota,Dry Zone,Yala,Yes,No,At 354
Kegalle,Wet Zone,Yala,Yes,No,At 353
Mannar,Dry Zone,Yala,No,Yes,Bw 367
Galle,Wet Zone,Maha,No,No,Bg 374
Badulla,Intermediate Zone,Maha,No,No,Bg 94-1
Monaragala,Intermediate Zone,Yala,No,No,Bg 357
Trincomalee,Dry Zone,Annual,No,No,Bg 360
Kalutara,Wet Zone,Yala,No,Yes,Bw 364
Vavuniya,Dry Zone,Maha,No,No,Bg 357
Polonnaruwa,Dry Zone,Maha,Yes,Yes,Bw 400
Trincomalee,Dry Zone,Annual,Yes,No,At 354
Kalutara,Wet Zone,Annual,No,No,Bg 250
Puttalam,Dry Zone,Annual,No,No,Bg 357
Kegalle,Wet Zone,Yala,No,No,Bg 366
Mannar,Dry Zone,Maha,No,No,Ld 368
Kandy,Intermediate Zone,Yala,No,No,Bg 366
Vavuniya,Dry Zone,Yala,No,No,Bg 359
Galle,Wet Zone,Maha,No,No,Bg 300
Kalutara,Wet Zone,Maha,No,No,Bg 366
Kegalle,Wet Zone,Maha,No,No,At 307
Kalutara,Wet Zone,Maha,No,No,Bg 300
Galle,Wet Zone,Annual,No,No,At 307
Kurunegala,Intermediate Zone,Yala,No,No,Bg 359
Ratnapura,Wet Zone,Maha,No,No,Bg 360
Matale,Intermediate Zone,Maha,No,No,Bg 366
Hambantota,Dry Zone,Yala,No,No,At 307
Mullaitivu,Dry Zone,Yala,Yes,No,At 353
Puttalam,Dry Zone,Yala,No,No,Bg 94-1
Kalutara,Wet Zone,Yala,Yes,No,At 353
Kurunegala,Intermediate Zone,Annual,Yes,Yes,Bw 400
Galle,Wet Zone,Maha,No,No,Bg 300
Monaragala,Intermediate Zone,Maha,No,No,Bg 379-2
Galle,Wet Zone,Yala,No,No,Bg 359
Badulla,Intermediate Zone,Maha,No,Yes,Bw 372
Trincomalee,Dry Zone,Yala,Yes,No,At 354
Kandy,Intermediate Zone,Yala,No,Yes,Bw 372
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 372
Puttalam,Dry Zone,Maha,No,No,Bg 94-1
Badulla,Intermediate Zone,Yala,Yes,Yes,Bw 400
Hambantota,Dry Zone,Yala,No,No,Bg 300
Trincomalee,Dry Zone,Yala,No,No,Bg 374
Batticaloa,Dry Zone,Maha,No,No,At 362
Batticaloa,Dry Zone,Yala,Yes,No,At 353
Galle,Wet Zone,Maha,No,Yes,Bw 372
Mannar,Dry Zone,Maha,No,Yes,Bw 367
Anuradhapura,Dry Zone,Maha,Yes,No,Bg 369
Polonnaruwa,Dry Zone,Maha,No,No,Bg 94-1
Matale,Intermediate Zone,Maha,Yes,No,Bg 310
Trincomalee,Dry Zone,Maha,No,No,Bg 374
Matale,Intermediate Zone,Yala,No,No,Bg 357
Mullaitivu,Dry Zone,Maha,Yes,No,Bg 310
Kurunegala,Intermediate Zone,Maha,No,No,Bg 300
Vavuniya,Dry Zone,Yala,No,No,At 362
Galle,Wet Zone,Yala,No,Yes,Bw 367
Badulla,Intermediate Zone,Yala,No,No,Bg 300
Trincomalee,Dry Zone,Yala,Yes,No,At 354
Killinochchi,Dry Zone,Yala,No,Yes,Bw 372
Anuradhapura,Dry Zone,Yala,Yes,No,At 354
Matara,Wet Zone,Maha,No,No,Bg 250
Kandy,Intermediate Zone,Yala,No,No,Bg 360
Puttalam,Dry Zone,Yala,No,No,Bg 250
Ampara,Dry Zone,Annual,No,No,Bg 359
Galle,Wet Zone,Maha,No,No,Bg 94-1
Gampaha,Wet Zone,Maha,No,No,Bg 379-2
Gampaha,Wet Zone,Annual,No,Yes,Bw 367
Ratnapura,Wet Zone,Maha,No,No,Bg 250
Trincomalee,Dry Zone,Maha,No,Yes,Bw 367
Puttalam,Dry Zone,Yala,No,No,Bg 300
Kalutara,Wet Zone,Maha,No,Yes,Bw 312
Matara,Wet Zone,Maha,No,Yes,Bw 372
Matara,Wet Zone,Yala,No,Yes,Bw 312
Kalutara,Wet Zone,Annual,No,No,At 303
Puttalam,Dry Zone,Yala,No,No,Bg 359
Killinochchi,Dry Zone,Yala,No,No,Bg 94-1
Kegalle,Wet Zone,Yala,Yes,No,At 354
Gampaha,Wet Zone,Yala,No,No,At 307
Mullaitivu,Dry Zone,Maha,No,No,Bg 359
Galle,Wet Zone,Maha,No,No,Bg 352
Kegalle,Wet Zone,Yala,No,Yes,Bw 364
Puttalam,Dry Zone,Maha,No,No,Ld 368
Matale,Intermediate Zone,Yala,No,No,At 362
Anuradhapura,Dry Zone,Yala,No,No,Bg 94-1
Kegalle,Wet Zone,Annual,No,No,Bg 366
Mullaitivu,Dry Zone,Yala,No,No,Bg 250
Monaragala,Intermediate Zone,Maha,No,No,Bg 374
Batticaloa,Dry Zone,Maha,No,No,Bg 94-1
Kalutara,Wet Zone,Maha,No,No,At 362
Puttalam,Dry Zone,Maha,No,No,Bg 366
Kegalle,Wet Zone,Maha,No,Yes,Bw 367
Gampaha,Wet Zone,Maha,No,Yes,Bw 312
Galle,Wet Zone,Yala,No,Yes,Bw 364
Galle,Wet Zone,Maha,No,No,At 362
Mannar,Dry Zone,Yala,No,No,Bg 360
Trincomalee,Dry Zone,Maha,Yes,Yes,Bw 400
Mannar,Dry Zone,Yala,No,Yes,Bw 367
Anuradhapura,Dry Zone,Yala,No,No,Bg 366
Kandy,Intermediate Zone,Maha,Yes,No,At 353
Mullaitivu,Dry Zone,Maha,No,Yes,Bw 372
Ratnapura,Wet Zone,Maha,No,No,Bg 300
Batticaloa,Dry Zone,Annual,No,No,Bg 366
Kalutara,Wet Zone,Maha,No,Yes,Bw 367
Anuradhapura,Dry Zone,Maha,No,Yes,Bw 367
Matale,Intermediate Zone,Annual,No,No,Bg 360
Trincomalee,Dry Zone,Maha,Yes,No,Bg 369
Puttalam,Dry Zone,Yala,No,No,Bg 359
Batticaloa,Dry Zone,Yala,No,Yes,Bw 372
Hambantota,Dry Zone,Yala,Yes,No,At 353
Killinochchi,Dry Zone,Maha,No,No,At 307
Hambantota,Dry Zone,Yala,Yes,No,At 354
Kalutara,Wet Zone,Maha,No,No,Bg 94-1
Kalutara,Wet Zone,Yala,No,No,Bg 352
Gampaha,Wet Zone,Maha,Yes,No,At 353
Vavuniya,Dry Zone,Maha,Yes,Yes,Bw 400
Batticaloa,Dry Zone,Yala,No,No,Bg 360
Ampara,Dry Zone,Yala,No,No,Bg 94-1
Anuradhapura,Dry Zone,Maha,No,No,Attakkari
Trincomalee,Dry Zone,Maha,No,No,Bg 352
Kandy,Intermediate Zone,Annual,No,No,At 303
Ampara,Dry Zone,Maha,No,Yes,Bw 312
Puttalam,Dry Zone,Yala,No,No,Bg 374
Galle,Wet Zone,Yala,No,No,Bg 379-2
Mullaitivu,Dry Zone,Maha,No,No,At 303
Batticaloa,Dry Zone,Yala,Yes,No,At 353
Gampaha,Wet Zone,Maha,No,No,Bg 357
Monaragala,Intermediate Zone,Yala,No,No,Bg 250
Matara,Wet Zone,Maha,Yes,No,Bg 310
Matara,Wet Zone,Maha,No,No,At 303
Ampara,Dry Zone,Yala,No,Yes,Bw 312
Polonnaruwa,Dry Zone,Yala,No,No,At 307
Gampaha,Wet Zone,Maha,Yes,No,Bg 310
Batticaloa,Dry Zone,Annual,No,Yes,Bw 364
Mannar,Dry Zone,Yala,No,No,At 307
Kurunegala,Intermediate Zone,Maha,No,No,At 303
Puttalam,Dry Zone,Yala,No,No,At 303
Vavuniya,Dry Zone,Yala,No,Yes,Bw 372
Hambantota,Dry Zone,Maha,No,No,At 362
Badulla,Intermediate Zone,Maha,No,Yes,Bw 367
Batticaloa,Dry Zone,Yala,No,No,At 303
Ampara,Dry Zone,Yala,No,No,Ld 368
Gampaha,Wet Zone,Maha,No,No,Ld 368
Gampaha,Wet Zone,Yala,No,No,At 307
Puttalam,Dry Zone,Annual,No,No,At 303
Mannar,Dry Zone,Annual,No,No,Bg 250
Ampara,Dry Zone,Maha,No,No,Bg 359
Matara,Wet Zone,Maha,No,No,Bg 250
Killinochchi,Dry Zone,Yala,No,Yes,Bw 312
Gampaha,Wet Zone,Maha,No,No,Bg 366
Kurunegala,Intermediate Zone,Maha,Yes,Yes,Bw 400
Killinochchi,Dry Zone,Yala,No,No,Bg 379-2
Kalutara,Wet Zone,Maha,Yes,Yes,Bw 400
Kegalle,Wet Zone,Maha,Yes,No,At 354
Badulla,Intermediate Zone,Yala,No,No,Bg 250
Matale,Intermediate Zone,Yala,No,No,At 362
Mullaitivu,Dry Zone,Maha,Yes,Yes,Bw 400
Mullaitivu,Dry Zone,Yala,No,Yes,Bw 364
Trincomalee,Dry Zone,Maha,No,No,Bg 250
Ratnapura,Wet Zone,Yala,No,Yes,Bw 372
Kurunegala,Intermediate Zone,Yala,No,No,Bg 374
Ampara,Dry Zone,Maha,No,Yes,Bw 367
Kegalle,Wet Zone,Maha,No,No,Bg 366
Matara,Wet Zone,Maha,No,Yes,Bw 364
Kurunegala,Intermediate Zone,Yala,No,No,At 307
Killinochchi,Dry Zone,Yala,No,Yes,Bw 367
Badulla,Intermediate Zone,Maha,No,No,Bg 366
Trincomalee,Dry Zone,Maha,No,No,Bg 360
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 312
Hambantota,Dry Zone,Yala,Yes,No,At 354
Batticaloa,Dry Zone,Maha,No,Yes,Bw 372
Monaragala,Intermediate Zone,Yala,Yes,No,At 354
Puttalam,Dry Zone,Yala,No,No,Attakkari
Polonnaruwa,Dry Zone,Yala,No,No,Bg 360
Hambantota,Dry Zone,Yala,No,No,Ld 368
Monaragala,Intermediate Zone,Maha,Yes,No,At 354
Anuradhapura,Dry Zone,Maha,No,No,At 303
Kurunegala,Intermediate Zone,Maha,No,No,Bg 352
Ampara,Dry Zone,Yala,No,No,Bg 359
Ampara,Dry Zone,Yala,No,No,Bg 94-1
Anuradhapura,Dry Zone,Yala,No,No,Bg 374
Killinochchi,Dry Zone,Yala,No,Yes,Bw 312
Puttalam,Dry Zone,Maha,Yes,No,At 354
Puttalam,Dry Zone,Maha,No,Yes,Bw 372
Matale,Intermediate Zone,Yala,No,No,Bg 359
Matara,Wet Zone,Maha,No,No,Bg 94-1
Ampara,Dry Zone,Annual,No,Yes,Bw 367
Matale,Intermediate Zone,Maha,No,No,Bg 300
Matara,Wet Zone,Maha,No,No,Bg 352
Kandy,Intermediate Zone,Yala,No,Yes,Bw 367
Ratnapura,Wet Zone,Yala,No,No,Bg 300
Killinochchi,Dry Zone,Maha,No,No,At 307
Galle,Wet Zone,Maha,No,No,Bg 359
Batticaloa,Dry Zone,Maha,No,No,Bg 374
Mannar,Dry Zone,Yala,Yes,No,At 353
Gampaha,Wet Zone,Maha,No,Yes,Bw 312
Mannar,Dry Zone,Yala,No,No,Bg 94-1
Matara,Wet Zone,Maha,No,Yes,Bw 364
Killinochchi,Dry Zone,Yala,Yes,No,Bg 310
Kandy,Intermediate Zone,Maha,No,No,Bg 379-2
Trincomalee,Dry Zone,Maha,No,No,Bg 379-2
Kurunegala,Intermediate Zone,Yala,Yes,No,At 354
Trincomalee,Dry Zone,Yala,No,No,Attakkari
Batticaloa,Dry Zone,Maha,No,No,Bg 250
Kurunegala,Intermediate Zone,Yala,Yes,No,At 353
Galle,Wet Zone,Maha,No,No,At 303
Killinochchi,Dry Zone,Yala,No,Yes,Bw 372
Ratnapura,Wet Zone,Yala,No,No,Bg 379-2
Ampara,Dry Zone,Maha,No,No,Bg 379-2
Kandy,Intermediate Zone,Maha,Yes,No,Bg 369
Badulla,Intermediate Zone,Annual,No,Yes,Bw 372
Polonnaruwa,Dry Zone,Annual,No,No,Bg 352
Monaragala,Intermediate Zone,Maha,No,No,At 303
Kegalle,Wet Zone,Maha,No,No,At 362
Galle,Wet Zone,Maha,No,Yes,Bw 364
Trincomalee,Dry Zone,Yala,No,No,At 362
Anuradhapura,Dry Zone,Yala,No,No,At 307
Trincomalee,Dry Zone,Yala,No,No,Bg 379-2
Killinochchi,Dry Zone,Maha,No,No,Bg 374
Mannar,Dry Zone,Yala,No,No,Bg 374
Monaragala,Intermediate Zone,Yala,No,No,Bg 357
Vavuniya,Dry Zone,Annual,No,No,At 362
Hambantota,Dry Zone,Maha,No,Yes,Bw 372
Badulla,Intermediate Zone,Maha,No,No,Attakkari
Killinochchi,Dry Zone,Annual,No,No,Bg 360
Ratnapura,Wet Zone,Yala,No,No,Ld 368
Vavuniya,Dry Zone,Yala,No,No,At 362
Matara,Wet Zone,Yala,No,Yes,Bw 312
Kalutara,Wet Zone,Yala,No,Yes,Bw 364
Kurunegala,Intermediate Zone,Annual,No,Yes,Bw 372
Galle,Wet Zone,Maha,No,No,At 303
Kurunegala,Intermediate Zone,Yala,No,No,Attakkari
Kegalle,Wet Zone,Annual,No,No,Bg 374
Mullaitivu,Dry Zone,Maha,No,No,Bg 300
Mullaitivu,Dry Zone,Yala,No,No,Bg 250
Kegalle,Wet Zone,Maha,No,No,Bg 374
Kegalle,Wet Zone,Maha,No,Yes,Bw 364
Puttalam,Dry Zone,Yala,Yes,No,At 353
Monaragala,Intermediate Zone,Maha,No,No,Bg 352
Monaragala,Intermediate Zone,Maha,No,Yes,Bw 367
Ratnapura,Wet Zone,Maha,No,No,Bg 359
Polonnaruwa,Dry Zone,Maha,No,No,At 307
Kegalle,Wet Zone,Yala,No,No,Bg 360
Ratnapura,Wet Zone,Maha,No,No,Bg 379-2
Batticaloa,Dry Zone,Annual,Yes,Yes,Bw 400
Killinochchi,Dry Zone,Maha,No,No,Bg 379-2
Trincomalee,Dry Zone,Yala,Yes,No,Bg 369
Matale,Intermediate Zone,Yala,Yes,No,Bg 369
Kandy,Intermediate Zone,Maha,No,Yes,Bw 372
Hambantota,Dry Zone,Maha,Yes,Yes,Bw 400
Killinochchi,Dry Zone,Maha,Yes,Yes,Bw 400
Mannar,Dry Zone,Maha,No,Yes,Bw 364
Galle,Wet Zone,Annual,No,No,Bg 360
Killinochchi,Dry Zone,Yala,No,Yes,Bw 364
Anuradhapura,Dry Zone,Yala,No,Yes,Bw 312
Puttalam,Dry Zone,Annual,No,No,Bg 374
