season,district,zone,temperature,humidity,rainfall,light,n,p,k,variety,yield
1,Trincomalee,0,26.0,83.3,217.0,5.6,64.9,21.8,40.0,Bg366,7.35
1,Anuradhapura,0,28.5,74.6,167.1,6.2,31.5,43.4,62.6,Bg352,7.14
1,Matara,1,27.4,80.3,249.3,6.3,64.4,47.8,51.1,Bw367,6.67
1,Galle,1,26.3,82.1,246.3,4.9,64.0,28.5,51.2,Bw367,5.51
1,Nuwara Eliya,1,15.0,87.6,279.9,4.3,49.2,52.5,26.6,Ld368,5.32
1,Hambantota,0,28.3,75.7,122.3,7.2,37.0,30.0,48.2,Bg352,7.14
1,Monaragala,0,27.6,82.5,177.6,5.4,79.6,40.2,58.1,Bg366,8.05
0,Kalutara,1,27.8,78.5,303.8,6.8,39.5,53.3,52.1,Ld368,5.6
1,Ratnapura,1,25.6,86.9,314.9,5.1,71.4,46.7,56.6,Ld368,6.44
0,Kalutara,1,29.0,78.6,291.5,6.1,68.8,29.0,29.7,Ld368,5.6
0,Matara,1,30.6,80.2,208.0,6.3,58.6,17.9,57.9,Bw367,5.8
0,Polonnaruwa,0,33.0,60.3,47.4,9.4,68.4,29.5,61.3,Bg300,6.05
1,Kalutara,1,26.1,90.1,309.5,4.8,68.8,24.9,38.2,Ld368,5.32
0,Kurunegala,0,29.5,71.7,96.7,6.9,26.5,46.0,54.8,Bg300,5.5
1,Kalutara,1,27.9,86.7,303.6,5.6,42.3,53.5,25.5,Ld368,5.88
0,Kalutara,1,28.5,78.4,302.7,6.9,33.9,42.8,28.0,Ld368,4.93
0,Ratnapura,1,27.7,81.9,294.9,6.3,41.1,44.5,61.6,Ld368,5.6
1,Nuwara Eliya,1,14.2,88.9,268.2,3.7,39.3,40.9,40.5,Ld368,5.32
0,Monaragala,0,31.3,67.5,51.0,7.6,42.6,44.1,35.8,Bg300,5.5
1,Kalutara,1,25.2,92.4,307.5,5.1,80.6,18.3,60.1,Ld368,6.44
0,Kalutara,1,27.6,81.8,299.3,7.0,28.3,38.8,40.2,Ld368,5.6
0,Badulla,1,24.7,71.4,99.0,6.2,24.1,42.7,46.4,Bw367,5.8
1,Monaragala,0,29.0,80.9,176.8,6.4,50.8,29.6,33.2,Bg352,7.14
0,Anuradhapura,0,31.8,62.1,61.3,8.9,22.6,30.7,25.9,Bg300,4.84
1,Polonnaruwa,0,28.3,80.2,205.6,5.9,60.9,55.1,41.1,Bg366,8.05
0,Kegalle,1,27.4,84.6,273.6,6.6,31.7,20.5,25.6,Ld368,4.93
1,Ampara,0,27.7,80.9,208.1,6.1,49.2,40.6,56.3,Bg352,7.14
0,Nuwara Eliya,1,19.6,87.0,208.8,5.5,62.3,17.6,26.8,Bw367,5.8
0,Ampara,0,32.7,61.1,52.4,8.3,49.5,38.4,48.4,Bg300,5.5
1,Galle,1,27.6,81.8,255.9,5.5,78.1,35.6,63.9,Ld368,6.44
1,Monaragala,0,27.1,76.8,157.7,5.4,55.3,28.3,39.6,Bg366,7.35
1,Colombo,1,28.4,77.4,249.0,6.2,34.5,49.9,61.8,Bw367,6.09
1,Badulla,1,23.6,79.8,192.9,6.3,59.5,52.0,34.4,Bw367,6.09
1,Colombo,1,28.5,77.6,229.4,5.4,67.8,48.8,55.0,Bw367,6.67
1,Kalutara,1,26.3,88.3,302.3,4.6,50.8,15.8,37.9,Ld368,4.65
1,Trincomalee,0,26.5,80.2,231.7,5.5,67.4,51.6,44.9,Bg366,8.05
1,Ratnapura,1,25.9,89.9,327.4,4.7,37.0,26.4,39.5,Ld368,4.65
0,Polonnaruwa,0,32.6,67.9,48.2,8.4,25.6,26.1,34.8,Bg300,4.84
1,Hambantota,0,27.6,72.9,110.2,7.4,34.4,41.0,41.4,Bg352,7.14
1,Hambantota,0,27.3,74.0,134.1,7.4,74.9,30.3,31.8,Bg352,7.14
0,Polonnaruwa,0,33.1,62.8,55.2,8.3,73.2,48.4,33.0,Bg300,5.61
1,Badulla,1,21.3,85.1,183.7,5.6,38.5,34.2,46.3,Bw367,6.09
1,Anuradhapura,0,27.5,74.3,166.9,6.8,47.7,52.4,35.2,Bg352,7.14
0,Monaragala,0,32.8,69.0,64.1,7.9,39.2,57.2,58.2,Bg300,6.05
1,Matara,1,26.1,86.3,253.2,5.3,33.7,44.6,48.0,Ld368,5.88
0,Kandy,1,28.4,75.0,139.9,6.0,64.8,41.6,45.9,Bw367,6.38
0,Hambantota,0,32.6,68.9,49.5,8.1,40.7,38.5,37.1,Bg300,5.5
0,Ratnapura,1,27.7,88.0,276.5,6.1,69.9,40.0,29.7,Ld368,5.6
0,Ampara,0,33.6,62.3,39.2,9.1,54.1,41.3,60.8,At362,6.32
0,Hambantota,0,30.5,68.1,32.5,8.6,21.8,42.8,55.5,At362,6.2
0,Nuwara Eliya,1,17.8,84.4,206.4,4.9,53.2,35.1,46.6,Bw367,5.22
1,Ratnapura,1,26.5,91.2,324.2,5.1,59.8,25.1,38.8,Ld368,5.88
1,Galle,1,28.2,85.8,247.0,5.5,82.1,21.1,48.4,Bw367,6.67
0,Anuradhapura,0,33.2,65.9,38.1,9.2,63.5,20.9,51.1,At362,5.7
1,Badulla,1,22.1,79.7,177.3,4.9,76.2,51.4,29.9,Bw367,6.09
0,Monaragala,0,31.0,64.9,75.1,7.7,37.1,29.1,49.3,Bg300,5.5
0,Ratnapura,1,29.2,81.1,288.6,6.2,26.3,31.6,59.5,Ld368,5.6
1,Ampara,0,27.3,81.8,222.6,5.6,31.8,56.5,34.9,Bg352,7.14
1,Trincomalee,0,26.8,88.1,215.9,5.5,64.8,20.5,51.5,Bg366,7.35
0,Trincomalee,0,35.4,58.5,52.4,8.2,74.8,40.1,48.8,Bg300,5.61
1,Kalutara,1,27.2,85.1,321.9,4.5,40.5,16.5,43.9,Ld368,4.65
0,Kandy,1,26.2,80.8,148.6,6.5,44.2,31.0,47.4,Bw367,5.8
0,Hambantota,0,31.0,65.8,47.6,7.8,69.4,41.1,57.0,Bg300,6.05
0,Trincomalee,0,33.7,62.5,47.6,8.4,47.8,43.8,38.6,Bg300,5.06
0,Monaragala,0,33.2,68.6,71.6,8.5,74.4,44.1,57.3,Bg300,5.61
1,Kegalle,1,27.3,83.4,297.2,4.8,34.8,40.3,54.4,Ld368,5.32
0,Kegalle,1,29.9,83.4,276.1,7.0,54.4,28.4,58.0,Ld368,5.6
0,Kurunegala,0,29.6,75.3,105.4,7.9,40.0,54.4,33.8,Bg300,5.5
1,Matara,1,26.0,84.7,254.6,5.8,40.0,34.4,45.5,Ld368,5.88
1,Matale,1,26.1,82.0,191.5,5.7,53.2,20.3,61.0,Bw367,6.09
0,Polonnaruwa,0,33.5,66.2,45.9,9.3,47.4,22.7,41.2,Bg300,5.06
1,Ampara,0,28.1,78.1,199.2,5.1,44.7,49.3,35.0,Bg352,7.14
0,Kalutara,1,29.0,83.7,300.1,6.0,62.4,31.9,39.2,Ld368,5.6
0,Galle,1,28.2,81.0,222.4,6.6,35.9,29.2,53.8,Bw367,5.8
1,Trincomalee,0,27.2,83.8,224.9,6.1,70.3,28.6,26.2,Bg366,7.35
1,Kurunegala,0,25.7,82.0,162.9,5.9,72.4,24.3,28.0,Bg366,7.35
0,Badulla,1,26.0,77.9,108.0,6.6,65.1,47.0,52.8,Bw367,6.38
1,Ampara,0,26.2,80.1,219.2,6.2,73.5,47.6,45.9,Bg366,8.05
1,Matara,1,28.6,86.6,244.2,6.2,69.8,40.5,64.2,Bw367,6.67
0,Matara,1,30.4,74.5,225.1,6.3,52.4,55.0,47.2,Bw367,6.38
1,Trincomalee,0,25.9,86.3,210.8,4.8,53.2,51.8,54.8,Bg352,7.14
0,Trincomalee,0,33.5,65.3,41.1,9.1,32.7,24.8,28.1,At362,4.96
0,Monaragala,0,31.5,70.2,52.0,7.7,49.7,51.6,37.8,Bg300,5.5
1,Anuradhapura,0,27.8,81.8,177.5,5.9,84.5,20.0,32.4,Bg366,7.35
0,Kurunegala,0,32.5,70.5,118.0,7.3,46.4,45.1,59.9,Bg300,6.05
0,Ratnapura,1,29.3,83.2,277.6,6.4,33.1,19.4,39.2,Ld368,4.93
1,Hambantota,0,27.7,70.4,105.5,7.6,53.5,35.4,52.2,Bg352,7.14
0,Matara,1,31.1,81.9,207.7,6.9,68.4,52.8,43.7,Bw367,6.38
1,Kalutara,1,25.5,92.9,302.0,5.7,65.7,39.3,45.5,Ld368,6.44
0,Nuwara Eliya,1,18.0,81.2,200.6,5.4,39.3,17.3,63.8,Bw367,5.8
0,Badulla,1,27.3,80.9,100.2,6.8,61.7,42.8,31.2,Bw367,5.8
1,Kurunegala,0,27.4,84.5,146.0,6.8,77.3,38.3,40.6,Bg352,7.82
0,Matale,1,30.4,78.6,129.3,7.2,50.3,18.5,41.3,Bw367,5.8
1,Ratnapura,1,25.1,91.2,319.9,4.1,42.1,42.3,28.0,Ld368,5.32
1,Badulla,1,22.5,83.8,192.8,6.0,49.1,42.1,47.6,Bw367,6.09
0,Kalutara,1,30.1,86.0,294.8,6.8,67.7,43.3,58.5,Ld368,6.16
1,Nuwara Eliya,1,15.9,92.5,269.8,4.6,78.0,16.2,58.0,Ld368,5.88
1,Nuwara Eliya,1,15.0,92.4,269.8,4.5,75.8,35.3,25.3,Ld368,5.32
1,Kalutara,1,26.0,88.6,298.5,4.8,30.5,47.7,30.1,Ld368,5.32
1,Trincomalee,0,26.8,87.4,216.8,4.9,71.5,51.6,32.0,Bg366,7.35
1,Hambantota,0,29.8,71.7,128.1,7.1,56.0,22.3,28.0,Bg352,7.14
1,Colombo,1,28.3,81.5,244.4,6.2,51.1,17.6,57.9,Bw367,6.09
0,Ratnapura,1,29.5,81.5,265.0,5.5,45.8,52.8,29.1,Ld368,5.6
0,Matale,1,29.1,78.3,114.0,7.5,62.5,24.2,30.3,Bw367,5.8
0,Kurunegala,0,32.4,67.3,116.9,8.2,67.2,58.6,55.4,Bg300,6.05
0,Monaragala,0,31.4,66.2,71.7,8.4,31.0,54.7,53.6,Bg300,5.5
1,Ratnapura,1,25.7,93.7,310.6,5.4,72.7,45.8,58.8,Ld368,6.44
0,Trincomalee,0,34.9,59.9,67.4,9.6,30.2,38.5,25.0,Bg300,4.4
0,Trincomalee,0,34.3,59.5,56.8,8.5,28.8,46.1,38.0,Bg300,5.06
1,Polonnaruwa,0,27.3,84.8,184.5,5.7,67.4,35.8,64.0,Bg366,8.05
1,Ampara,0,27.9,84.6,223.6,6.2,69.8,50.0,30.8,Bg366,8.05
0,Matara,1,30.0,74.2,219.5,6.5,39.0,46.0,62.6,Bw367,5.8
1,Anuradhapura,0,28.1,81.8,167.5,6.5,49.7,32.9,64.1,Bg352,7.14
1,Colombo,1,28.7,79.0,230.0,5.4,65.0,43.3,26.3,Bw367,6.09
0,Ampara,0,31.9,64.4,56.3,9.2,59.3,52.1,38.6,Bg300,5.5
0,Trincomalee,0,35.2,62.5,64.5,8.8,55.4,41.1,54.3,Bg300,5.61
1,Galle,1,25.7,82.5,239.8,6.2,42.1,54.0,38.5,Bw367,6.09
0,Kandy,1,28.4,79.6,149.9,6.6,59.6,24.1,64.9,Bw367,5.8
0,Matale,1,29.5,72.0,125.4,6.3,21.7,25.3,43.5,Bw367,5.1
1,Monaragala,0,28.5,82.7,170.1,6.1,58.3,43.5,26.2,Bg366,7.35
1,Polonnaruwa,0,27.8,81.0,203.8,6.0,84.6,31.4,39.4,Bg366,8.05
0,Kurunegala,0,30.9,75.4,102.1,7.9,42.3,44.1,50.3,Bg300,5.5
1,Colombo,1,27.8,81.1,227.1,5.9,35.4,31.2,48.7,Bw367,6.09
0,Trincomalee,0,34.5,58.0,59.6,8.6,41.9,54.3,25.4,Bg300,5.06
1,Anuradhapura,0,28.3,77.0,172.1,5.6,78.6,37.7,38.2,Bg366,8.05
1,Nuwara Eliya,1,16.5,89.3,272.5,4.2,68.9,21.7,31.7,Ld368,5.32
0,Galle,1,29.1,80.3,238.5,7.1,44.6,49.6,47.3,Bw367,5.8
1,Colombo,1,26.7,79.3,226.6,6.2,42.4,22.2,28.5,Bw367,5.39
0,Anuradhapura,0,32.8,66.9,46.9,8.5,57.7,20.7,37.9,Bg300,5.5
0,Trincomalee,0,33.3,62.2,50.3,9.0,26.9,25.3,30.7,Bg300,4.4
1,Nuwara Eliya,1,16.0,94.7,267.8,4.3,54.4,49.7,32.1,Ld368,5.32
0,Polonnaruwa,0,34.0,67.4,50.5,8.8,54.0,54.8,47.8,Bg300,5.61
0,Matara,1,31.1,80.9,225.3,6.5,56.2,30.8,51.0,Bw367,5.8
1,Polonnaruwa,0,27.8,78.2,206.0,6.6,71.4,23.6,36.5,Bg366,7.35
1,Galle,1,27.5,87.7,262.8,5.5,79.6,50.1,37.7,Ld368,6.44
0,Kalutara,1,28.6,81.0,294.5,5.9,54.7,39.4,47.5,Ld368,5.6
0,Anuradhapura,0,32.6,64.4,35.4,8.6,29.3,45.7,55.4,At362,6.2
0,Matale,1,29.1,79.5,130.4,7.7,64.8,19.4,31.0,Bw367,5.8
0,Kegalle,1,28.0,81.8,266.8,6.4,61.1,43.6,45.8,Ld368,6.16
0,Galle,1,30.7,75.7,243.6,7.0,40.9,22.9,44.2,Bw367,5.8
1,Polonnaruwa,0,27.5,77.6,188.5,5.5,74.2,41.6,37.5,Bg366,8.05
1,Hambantota,0,29.1,72.7,117.4,6.2,40.0,47.2,32.3,Bg352,7.14
0,Kalutara,1,29.6,79.1,292.0,5.8,73.0,34.3,57.2,Ld368,6.16
1,Anuradhapura,0,26.6,79.3,193.5,6.2,75.1,55.4,34.1,Bg366,8.05
0,Matale,1,29.3,74.1,130.2,7.6,39.4,24.5,56.2,Bw367,5.8
1,Hambantota,0,29.0,78.1,128.0,6.2,53.3,26.1,34.4,Bg352,7.14
1,Matara,1,27.1,84.4,230.4,5.5,42.7,23.2,50.5,Bw367,6.09
1,Matale,1,25.9,78.6,189.3,5.1,62.8,42.0,42.7,Bw367,6.09
0,Trincomalee,0,34.6,66.9,43.9,8.3,59.8,43.1,36.0,At362,5.7
1,Colombo,1,26.6,85.9,230.8,5.7,42.5,29.2,27.8,Bw367,5.39
1,Badulla,1,21.2,87.0,182.0,5.6,78.4,41.0,46.3,Bw367,6.67
1,Kurunegala,0,27.5,86.9,164.9,6.3,70.2,38.6,27.4,Bg366,7.35
1,Matara,1,28.6,80.8,245.7,5.3,59.5,18.9,43.0,Bw367,6.09
1,Kegalle,1,25.5,88.6,308.9,5.8,42.9,31.0,31.1,Ld368,5.88
1,Monaragala,0,29.1,80.4,180.3,6.0,64.3,23.6,55.2,Bg366,7.35
0,Anuradhapura,0,33.5,67.8,56.3,7.8,36.7,30.5,39.4,Bg300,5.06
0,Polonnaruwa,0,32.2,63.1,54.8,8.4,71.8,54.9,31.5,Bg300,6.05
0,Galle,1,31.0,83.5,221.3,7.5,26.4,47.7,40.2,Bw367,5.8
1,Nuwara Eliya,1,16.2,86.4,271.4,4.5,47.7,15.9,31.2,Ld368,4.65
1,Kurunegala,0,28.4,82.7,173.0,6.3,56.4,32.5,49.3,Bg366,7.35
1,Anuradhapura,0,29.2,81.3,174.5,6.7,75.4,46.7,29.9,Bg366,8.05
1,Polonnaruwa,0,26.4,84.6,196.5,6.5,53.8,32.5,45.2,Bg352,7.14
1,Ampara,0,26.5,83.2,214.5,4.9,33.4,51.2,43.4,Bg352,6.46
1,Polonnaruwa,0,29.0,75.6,200.9,6.6,43.2,25.7,29.9,Bg352,6.32
0,Colombo,1,29.5,78.9,203.5,7.4,32.6,24.3,33.8,Bw367,5.1
1,Hambantota,0,29.5,77.2,128.8,6.6,66.0,34.2,46.0,Bg352,7.14
0,Colombo,1,31.2,79.7,185.3,7.1,46.5,15.8,35.4,Bw367,5.1
0,Nuwara Eliya,1,17.9,84.4,201.5,4.2,33.3,54.0,57.1,Bw367,5.22
1,Kalutara,1,26.5,84.1,311.4,4.9,76.4,18.9,44.5,Ld368,5.32
1,Hambantota,0,28.0,77.4,119.3,6.6,51.7,38.4,56.4,Bg352,7.14
0,Kalutara,1,30.4,85.9,284.5,6.5,44.1,25.2,58.6,Ld368,5.6
0,Kandy,1,28.5,78.0,146.6,6.4,32.5,50.6,43.0,Bw367,5.8
0,Kalutara,1,27.8,87.9,288.3,5.5,22.1,44.8,51.4,Ld368,5.6
1,Kurunegala,0,25.6,82.1,156.6,6.1,84.5,58.8,62.7,Bg366,8.05
1,Galle,1,25.8,86.6,257.9,5.2,31.2,18.3,63.7,Ld368,5.88
1,Kandy,1,23.7,89.8,225.0,4.4,44.0,25.4,27.8,Bw367,4.81
0,Nuwara Eliya,1,17.9,83.7,198.4,5.0,70.6,35.8,49.7,Bw367,6.38
0,Polonnaruwa,0,31.6,59.1,48.0,8.2,40.7,42.0,40.5,Bg300,5.5
1,Matara,1,27.2,79.1,254.8,6.1,47.4,50.2,35.3,Ld368,5.88
1,Ratnapura,1,26.2,86.2,334.4,5.2,60.7,22.2,27.2,Ld368,5.88
0,Galle,1,30.8,75.4,219.9,6.2,59.9,47.7,33.5,Bw367,5.8
0,Matara,1,29.5,81.6,227.3,7.2,25.8,21.1,28.8,Bw367,5.1
0,Matara,1,30.9,78.3,209.8,7.1,64.6,44.7,60.3,Bw367,6.38
1,Hambantota,0,27.6,78.8,124.7,6.5,70.8,52.6,49.6,Bg352,7.82
0,Polonnaruwa,0,32.6,63.4,45.7,9.4,66.2,53.3,25.4,Bg300,5.5
0,Polonnaruwa,0,32.6,61.3,34.5,8.5,68.2,59.9,39.7,At362,6.82
1,Hambantota,0,29.3,72.2,109.1,7.1,30.1,27.1,26.2,Bg352,6.32
1,Colombo,1,26.8,80.9,237.1,6.6,58.1,43.9,29.2,Bw367,6.09
1,Hambantota,0,28.8,76.8,129.1,6.4,75.4,39.9,28.1,Bg352,7.14
1,Kalutara,1,27.4,90.1,318.7,5.0,54.2,20.9,38.1,Ld368,5.88
1,Anuradhapura,0,27.6,73.6,189.0,6.4,70.3,32.0,31.9,Bg366,7.35
1,Ampara,0,27.4,78.8,215.6,6.3,71.1,49.6,63.0,Bg366,8.05
0,Monaragala,0,32.2,72.8,55.0,8.3,52.2,43.5,52.9,Bg300,5.5
0,Kalutara,1,30.3,80.6,287.9,6.8,66.3,22.4,57.1,Ld368,5.6
1,Nuwara Eliya,1,15.4,86.3,267.4,4.4,57.3,32.5,54.2,Ld368,5.32
0,Ampara,0,32.2,65.1,39.1,9.0,56.1,58.3,27.8,At362,6.2
1,Matara,1,26.5,81.6,232.4,6.5,43.7,25.9,55.4,Bw367,6.09
0,Nuwara Eliya,1,19.8,79.7,209.6,4.3,23.4,51.3,30.6,Bw367,5.22
1,Hambantota,0,28.2,73.5,132.0,6.0,66.5,58.5,47.4,Bg352,7.82
0,Trincomalee,0,32.7,61.2,47.8,9.3,74.0,30.3,51.2,Bg300,6.05
1,Monaragala,0,27.3,78.1,183.4,6.7,40.1,20.9,53.8,Bg352,7.14
0,Nuwara Eliya,1,20.1,84.6,210.7,4.4,67.3,43.9,27.7,Bw367,5.22
0,Badulla,1,26.3,73.3,120.4,6.9,27.8,41.6,33.6,Bw367,5.1
1,Nuwara Eliya,1,16.6,89.6,287.5,3.7,73.3,19.5,39.2,Ld368,5.32
1,Kurunegala,0,27.9,82.0,155.2,6.8,60.0,50.3,55.2,Bg366,8.05
1,Ratnapura,1,24.7,90.6,309.8,4.4,82.1,37.4,55.0,Ld368,5.88
0,Badulla,1,26.2,71.9,105.3,6.7,41.5,46.9,39.9,Bw367,5.8
0,Galle,1,29.3,77.0,220.6,6.2,39.6,45.3,36.1,Bw367,5.8
0,Kandy,1,27.9,75.0,161.9,6.5,44.6,37.3,31.6,Bw367,5.8
0,Kegalle,1,28.4,86.0,260.1,6.3,52.9,16.3,39.5,Ld368,5.6
0,Kegalle,1,28.2,85.0,284.0,6.9,26.5,44.6,37.8,Ld368,5.6
0,Anuradhapura,0,32.5,61.2,56.8,8.2,74.8,59.2,51.2,Bg300,6.05
0,Monaragala,0,30.8,63.3,74.7,7.5,40.8,58.9,38.5,Bg300,5.5
1,Matale,1,26.8,79.1,207.8,6.3,79.6,41.1,37.6,Bw367,6.67
1,Polonnaruwa,0,28.5,78.4,185.2,6.1,75.4,24.0,34.6,Bg366,7.35
0,Polonnaruwa,0,33.7,59.9,48.4,8.7,51.7,49.5,57.2,Bg300,5.61
0,Ratnapura,1,28.9,80.3,285.3,5.7,57.7,17.8,32.0,Ld368,5.6
1,Matale,1,24.7,86.4,193.4,5.7,68.2,35.5,37.2,Bw367,6.09
0,Kurunegala,0,30.4,73.5,123.1,8.1,62.1,51.5,51.6,Bg300,6.05
1,Anuradhapura,0,28.5,78.6,168.3,5.9,55.3,54.6,46.9,Bg366,8.05
0,Kurunegala,0,32.4,68.1,107.7,6.8,60.7,56.7,36.2,Bg300,6.05
0,Kegalle,1,28.2,86.1,277.6,6.8,21.0,53.5,54.1,Ld368,5.6
1,Ratnapura,1,24.6,91.0,321.2,4.2,43.3,15.5,43.8,Ld368,4.65
0,Colombo,1,29.2,74.3,206.9,7.4,23.5,50.1,60.1,Bw367,5.8
1,Colombo,1,29.0,78.9,227.4,5.6,73.7,16.4,48.3,Bw367,6.09
1,Colombo,1,28.0,83.6,232.6,5.6,56.9,44.5,46.0,Bw367,6.09
1,Matale,1,26.6,78.6,213.7,4.7,68.2,18.3,61.4,Bw367,5.51
0,Colombo,1,29.4,75.4,189.9,6.7,72.1,32.8,56.6,Bw367,6.38
0,Hambantota,0,31.5,66.0,36.5,8.2,55.9,58.0,49.0,At362,6.82
0,Matale,1,28.3,74.1,131.7,6.2,22.2,39.2,61.3,Bw367,5.8
0,Nuwara Eliya,1,18.9,83.7,213.7,5.0,44.6,34.0,48.6,Bw367,5.8
0,Ampara,0,31.7,61.2,36.1,8.0,38.6,52.1,47.9,At362,6.2
0,Nuwara Eliya,1,17.6,81.8,219.5,4.7,65.0,36.3,60.2,Bw367,5.8
0,Matale,1,29.0,77.0,134.8,6.4,35.1,30.8,41.9,Bw367,5.8
1,Matara,1,28.4,86.1,243.2,5.5,75.3,53.2,57.8,Bw367,6.67
0,Kandy,1,27.9,73.5,142.7,5.8,53.2,42.5,29.6,Bw367,5.8
0,Anuradhapura,0,33.0,60.9,52.9,8.6,69.5,36.2,37.8,Bg300,5.5
0,Matale,1,28.7,76.5,124.4,7.6,52.9,35.1,30.6,Bw367,5.8
0,Matale,1,28.0,71.7,124.1,7.4,49.1,48.2,64.7,Bw367,6.38
0,Polonnaruwa,0,33.6,63.3,43.5,8.1,42.0,56.4,57.3,At362,6.32
1,Ampara,0,27.1,85.5,207.1,4.8,59.8,54.5,48.6,Bg366,7.35
1,Matara,1,26.9,83.5,242.4,6.2,35.4,50.6,25.5,Bw367,6.09
1,Hambantota,0,29.1,73.7,110.0,6.7,37.8,55.6,38.8,Bg352,7.14
1,Nuwara Eliya,1,15.1,85.1,276.6,4.5,62.8,19.1,58.9,Ld368,5.32
1,Kandy,1,25.5,85.8,221.8,4.6,39.2,53.9,34.1,Bw367,5.51
0,Kurunegala,0,29.9,68.0,101.3,8.2,42.8,35.8,37.5,Bg300,5.5
0,Ratnapura,1,27.9,88.0,268.5,6.7,37.3,50.5,49.1,Ld368,5.6
0,Matale,1,27.8,76.1,109.5,6.2,73.4,45.9,64.2,Bw367,6.38
0,Matale,1,29.1,71.7,112.4,7.5,39.6,48.1,53.4,Bw367,5.8
0,Badulla,1,25.5,73.7,124.0,7.1,39.1,38.2,30.6,Bw367,5.8
0,Kurunegala,0,31.4,71.9,107.1,8.3,68.4,44.9,47.8,Bg300,6.05
0,Monaragala,0,31.7,63.4,64.3,8.1,32.5,58.6,61.4,Bg300,6.05
1,Galle,1,27.1,88.7,238.9,6.1,36.9,46.8,36.0,Bw367,6.09
1,Colombo,1,29.1,78.5,238.9,6.8,56.6,49.5,48.5,Bw367,6.67
1,Hambantota,0,28.6,75.6,118.2,7.0,80.5,34.5,54.0,Bg352,7.82
0,Colombo,1,30.2,80.3,207.9,7.3,72.6,23.0,29.4,Bw367,5.8
