district,paddyType,season,quantity,price
Kandy,Nadu,Maha,1734,112
Ampara,Keeri Samba,Maha,1897,149
Ampara,Keeri Samba,Maha,1953,147
Ampara,Keeri Samba,Yala,4402,132
Badulla,Nadu,Yala,4754,105
Badulla,Samba,Maha,2862,132
Ampara,Keeri Samba,Yala,2195,130
Monaragala,Keeri Samba,Yala,4644,130
Badulla,Nadu,Yala,3587,99
Kandy,Nadu,Maha,2383,108
Kandy,Nadu,Maha,3881,113
Monaragala,Samba,Maha,4909,130
Monaragala,Samba,Yala,544,119
Badulla,Nadu,Maha,4404,112
Ampara,Samba,Yala,1838,122
Kandy,Keeri Samba,Yala,2225,128
Monaragala,Keeri Samba,Yala,2315,128
Badulla,Samba,Maha,1575,130
Kandy,Nadu,Maha,2131,112
Monaragala,Samba,Maha,2155,137
Monaragala,Keeri Samba,Yala,2189,131
Ampara,Samba,Maha,2470,135
Ampara,Keeri Samba,Maha,1753,140
Kandy,Nadu,Maha,3836,110
Badulla,Nadu,Yala,4234,106
Monaragala,Nadu,Yala,4477,102
Monaragala,Samba,Maha,2894,129
Kandy,Keeri Samba,Yala,1241,136
Monaragala,Nadu,Yala,3152,106
Kandy,Samba,Maha,3673,132
Monaragala,Samba,Maha,670,137
Ampara,Keeri Samba,Yala,1164,131
Badulla,Samba,Yala,2008,119
Monaragala,Samba,Maha,1962,128
Ampara,Samba,Maha,2160,131
Ampara,Nadu,Yala,3534,103
Ampara,Keeri Samba,Maha,2310,148
Kandy,Nadu,Maha,3751,113
Badulla,Nadu,Maha,4118,115
Badulla,Samba,Maha,4601,136
Kandy,Samba,Maha,3267,136
Kandy,Keeri Samba,Maha,4150,148
Monaragala,Samba,Yala,3972,117
Badulla,Nadu,Yala,4150,101
Ampara,Samba,Yala,2444,122
Badulla,Samba,Yala,2102,125
Monaragala,Nadu,Yala,2296,102
Kandy,Keeri Samba,Yala,4985,132
Kandy,Keeri Samba,Maha,2233,144
Monaragala,Samba,Yala,3888,120
Kandy,Samba,Maha,860,137
Ampara,Nadu,Yala,3380,107
Ampara,Nadu,Yala,1866,101
Monaragala,Keeri Samba,Yala,1064,132
Ampara,Nadu,Yala,3906,105
Monaragala,Samba,Maha,1987,135
Monaragala,Nadu,Yala,1182,102
Kandy,Keeri Samba,Maha,3386,141
Monaragala,Nadu,Maha,3657,116
Monaragala,Samba,Maha,4363,133
Kandy,Samba,Maha,3474,129
Badulla,Samba,Maha,2073,132
Ampara,Nadu,Maha,1002,117
Kandy,Keeri Samba,Yala,2953,137
Ampara,Nadu,Yala,604,103
Monaragala,Keeri Samba,Maha,1670,139
Badulla,Nadu,Maha,3771,114
Ampara,Samba,Yala,4548,126
Badulla,Keeri Samba,Yala,712,134
Monaragala,Samba,Yala,4409,117
Kandy,Samba,Maha,1773,133
Kandy,Nadu,Yala,2326,104
Badulla,Nadu,Maha,3938,110
Badulla,Samba,Yala,2706,125
Kandy,Samba,Yala,2962,121
Monaragala,Samba,Yala,931,119
Kandy,Keeri Samba,Maha,1216,144
Kandy,Samba,Yala,548,124
Badulla,Samba,Yala,2315,125
Monaragala,Keeri Samba,Yala,977,132
Badulla,Samba,Maha,1924,133
Badulla,Keeri Samba,Yala,2238,131
Badulla,Samba,Yala,1634,121
Badulla,Nadu,Yala,4958,96
Monaragala,Samba,Maha,2173,133
Badulla,Nadu,Yala,2762,102
Badulla,Nadu,Yala,1286,97
Monaragala,Keeri Samba,Yala,4829,130
Ampara,Samba,Yala,1610,129
Monaragala,Keeri Samba,Maha,1596,143
Monaragala,Keeri Samba,Yala,4015,135
Monaragala,Samba,Yala,1439,125
Monaragala,Samba,Yala,2423,125
Ampara,Nadu,Yala,4317,106
Monaragala,Nadu,Maha,3248,107
Monaragala,Nadu,Yala,1788,107
Badulla,Keeri Samba,Yala,3376,126
Badulla,Keeri Samba,Maha,1493,142
Ampara,Nadu,Yala,2362,105
Badulla,Nadu,Yala,3013,98
Ampara,Keeri Samba,Yala,2237,138
Kandy,Samba,Yala,3393,123
Badulla,Keeri Samba,Yala,4911,134
Ampara,Keeri Samba,Yala,4406,136
Ampara,Samba,Maha,3020,132
Ampara,Nadu,Maha,2149,110
Ampara,Keeri Samba,Yala,4367,132
Monaragala,Nadu,Yala,697,97
Monaragala,Samba,Maha,729,134
Ampara,Keeri Samba,Yala,4219,136
Monaragala,Keeri Samba,Yala,3644,127
Badulla,Keeri Samba,Maha,3429,146
Kandy,Samba,Yala,1780,119
Badulla,Samba,Maha,1313,128
Ampara,Keeri Samba,Maha,1914,143
Ampara,Nadu,Yala,1103,107
Badulla,Nadu,Yala,2165,97
Monaragala,Nadu,Yala,2715,103
Badulla,Nadu,Maha,666,111
Monaragala,Keeri Samba,Yala,3123,137
Badulla,Keeri Samba,Yala,2310,133
Badulla,Nadu,Yala,963,103
Ampara,Samba,Maha,980,131
Monaragala,Nadu,Yala,1344,102
Monaragala,Samba,Yala,3541,117
Monaragala,Samba,Yala,3314,117
Kandy,Samba,Maha,3988,135
Monaragala,Samba,Yala,2410,117
Kandy,Samba,Maha,3110,137
Ampara,Keeri Samba,Maha,3057,148
Ampara,Nadu,Maha,2795,112
Badulla,Samba,Yala,757,121
Ampara,Nadu,Maha,4586,111
Badulla,Keeri Samba,Maha,4833,143
Monaragala,Samba,Maha,1962,137
Badulla,Keeri Samba,Yala,2730,128
Ampara,Nadu,Maha,3312,117
Ampara,Samba,Maha,2794,140
Monaragala,Keeri Samba,Yala,535,136
Monaragala,Keeri Samba,Yala,736,134
Monaragala,Nadu,Maha,1156,109
Badulla,Keeri Samba,Maha,3396,139
Badulla,Nadu,Yala,2875,102
Kandy,Samba,Maha,3228,128
Badulla,Keeri Samba,Yala,4326,131
Monaragala,Keeri Samba,Maha,2534,140
Ampara,Keeri Samba,Maha,4485,142
Ampara,Keeri Samba,Maha,4739,141
Ampara,Nadu,Maha,1691,116
Kandy,Nadu,Yala,1533,98
Kandy,Keeri Samba,Yala,3427,132
Ampara,Keeri Samba,Yala,3102,134
Kandy,Samba,Yala,3043,123
Kandy,Keeri Samba,Maha,3846,146
Monaragala,Nadu,Maha,4995,116
Monaragala,Nadu,Maha,2148,115
Badulla,Keeri Samba,Yala,3673,126
Ampara,Samba,Yala,867,124
Badulla,Nadu,Maha,1007,113
Badulla,Keeri Samba,Maha,1829,140
Monaragala,Keeri Samba,Maha,1622,140
Kandy,Keeri Samba,Yala,4890,135
Kandy,Keeri Samba,Yala,4496,137
Badulla,Samba,Yala,2982,116
Monaragala,Keeri Samba,Yala,774,131
Badulla,Nadu,Maha,2976,115
Badulla,Samba,Maha,3736,129
Badulla,Keeri Samba,Yala,4128,131
Badulla,Samba,Yala,3606,125
Monaragala,Nadu,Maha,3914,109
Kandy,Nadu,Yala,2445,102
Monaragala,Nadu,Maha,634,112
Badulla,Samba,Maha,4938,126
Monaragala,Nadu,Maha,1028,109
Badulla,Keeri Samba,Maha,1710,142
Badulla,Keeri Samba,Maha,4483,139
Ampara,Nadu,Yala,3547,107
Ampara,Keeri Samba,Maha,1855,142
Monaragala,Keeri Samba,Yala,2455,132
Monaragala,Keeri Samba,Yala,4838,128
Monaragala,Keeri Samba,Maha,1811,139
Ampara,Samba,Maha,2470,134
Badulla,Nadu,Maha,2446,113
Ampara,Samba,Maha,745,130
Badulla,Keeri Samba,Yala,1442,131
Monaragala,Nadu,Maha,4433,114
Kandy,Samba,Maha,1957,132
Monaragala,Keeri Samba,Maha,3036,142
Kandy,Samba,Yala,3228,128
Badulla,Nadu,Maha,3402,115
Badulla,Samba,Maha,4039,136
Kandy,Keeri Samba,Yala,3784,129
Badulla,Samba,Maha,2899,134
Ampara,Samba,Maha,1955,131
Kandy,Nadu,Maha,4849,110
Badulla,Keeri Samba,Yala,3899,129
Kandy,Nadu,Maha,2019,113
Badulla,Nadu,Maha,3270,109
Badulla,Keeri Samba,Yala,3614,133
Ampara,Keeri Samba,Yala,2684,140
Badulla,Keeri Samba,Yala,1427,136
Badulla,Nadu,Maha,2795,108
Ampara,Keeri Samba,Yala,4904,133
Kandy,Nadu,Maha,953,108
Badulla,Nadu,Maha,1578,107
Ampara,Samba,Maha,1975,137
Ampara,Samba,Maha,797,135
Kandy,Samba,Maha,1329,134
Ampara,Nadu,Maha,2312,112
Badulla,Keeri Samba,Yala,504,133
Badulla,Samba,Maha,2351,132
Badulla,Nadu,Maha,2900,109
Ampara,Nadu,Maha,503,118
Monaragala,Keeri Samba,Yala,710,127
Ampara,Keeri Samba,Yala,2846,130
Monaragala,Samba,Maha,3070,132
Kandy,Keeri Samba,Maha,3627,140
Monaragala,Nadu,Maha,3143,114
Badulla,Keeri Samba,Yala,3685,136
Monaragala,Samba,Yala,4318,126
Badulla,Keeri Samba,Yala,1905,135
Badulla,Keeri Samba,Maha,764,143
Badulla,Keeri Samba,Maha,2889,143
Kandy,Samba,Maha,2081,135
Badulla,Nadu,Maha,2648,115
Badulla,Samba,Maha,2596,133
Ampara,Keeri Samba,Maha,2445,150
Kandy,Samba,Maha,1086,133
Ampara,Samba,Yala,2379,124
Monaragala,Samba,Yala,4541,123
Monaragala,Keeri Samba,Maha,2464,141
Badulla,Nadu,Maha,515,115
Monaragala,Keeri Samba,Maha,697,139
Kandy,Samba,Yala,4940,123
Ampara,Keeri Samba,Yala,3172,133
Monaragala,Samba,Maha,4778,137
Badulla,Keeri Samba,Yala,2957,132
Badulla,Keeri Samba,Yala,1645,132
Badulla,Samba,Yala,3109,121
Monaragala,Keeri Samba,Maha,1455,146
Ampara,Keeri Samba,Maha,3968,142
Badulla,Samba,Maha,2575,130
Monaragala,Keeri Samba,Maha,4157,139
Badulla,Samba,Yala,3338,122
Kandy,Keeri Samba,Yala,1951,132
Kandy,Keeri Samba,Maha,4059,140
Badulla,Samba,Maha,4620,132
Kandy,Nadu,Yala,2580,108
Kandy,Nadu,Yala,1841,102
Ampara,Keeri Samba,Yala,4459,134
Kandy,Keeri Samba,Maha,1461,145
Ampara,Samba,Maha,2684,134
Kandy,Nadu,Maha,632,115
Ampara,Keeri Samba,Maha,2955,144
Badulla,Keeri Samba,Yala,3258,127
Badulla,Keeri Samba,Maha,4585,139
Badulla,Samba,Maha,1392,127
Ampara,Keeri Samba,Maha,4936,140
Monaragala,Samba,Maha,4131,133
Kandy,Samba,Maha,4098,135
Ampara,Samba,Maha,1789,137
Ampara,Keeri Samba,Maha,4114,140
Ampara,Keeri Samba,Maha,1853,143
Kandy,Samba,Yala,3450,121
Ampara,Nadu,Maha,1864,114
Badulla,Samba,Maha,3184,135
Ampara,Nadu,Yala,2098,103
Kandy,Keeri Samba,Yala,1660,128
Kandy,Keeri Samba,Maha,2806,139
Badulla,Samba,Maha,4885,131
Monaragala,Nadu,Yala,4159,104
Ampara,Samba,Yala,3541,124
Kandy,Samba,Yala,3200,126
Kandy,Nadu,Maha,3836,112
Kandy,Samba,Maha,2857,137
Monaragala,Keeri Samba,Yala,2110,137
Kandy,Samba,Yala,4705,119
Monaragala,Nadu,Maha,3290,116
Badulla,Keeri Samba,Yala,2533,132
Monaragala,Nadu,Yala,976,107
Kandy,Samba,Yala,2118,125
Kandy,Nadu,Maha,2228,111
Monaragala,Keeri Samba,Maha,2700,142
Badulla,Keeri Samba,Yala,4104,136
Kandy,Keeri Samba,Yala,2902,129
Badulla,Samba,Yala,2614,119
Kandy,Nadu,Maha,2012,116
Ampara,Nadu,Maha,4935,111
Badulla,Nadu,Maha,1492,106
Monaragala,Nadu,Yala,2881,101
Ampara,Nadu,Yala,2536,104
Ampara,Samba,Yala,4750,124
Badulla,Nadu,Yala,3931,104
Monaragala,Keeri Samba,Yala,3693,129
Kandy,Nadu,Maha,3217,113
Kandy,Nadu,Maha,4926,112
Ampara,Nadu,Maha,1614,118
Badulla,Samba,Maha,4125,127
Ampara,Keeri Samba,Yala,1715,130
Badulla,Nadu,Yala,777,105
Ampara,Keeri Samba,Maha,990,141
Monaragala,Keeri Samba,Yala,3247,127
Monaragala,Nadu,Yala,4624,97
Badulla,Nadu,Maha,3057,109
Ampara,Nadu,Maha,1803,117
Monaragala,Keeri Samba,Yala,3785,132
Ampara,Keeri Samba,Yala,2556,137
Badulla,Samba,Yala,2798,117
Ampara,Keeri Samba,Yala,3496,136
Badulla,Keeri Samba,Maha,2359,146
Monaragala,Keeri Samba,Maha,3796,144
Kandy,Keeri Samba,Yala,4534,132
Monaragala,Keeri Samba,Maha,562,146
Monaragala,Samba,Yala,2216,117
Monaragala,Nadu,Maha,2012,111
Kandy,Nadu,Maha,3025,108
Kandy,Keeri Samba,Yala,1418,137
Monaragala,Nadu,Maha,1695,110
Monaragala,Keeri Samba,Yala,1669,130
Monaragala,Nadu,Maha,569,117
Monaragala,Samba,Maha,2851,135
Ampara,Keeri Samba,Yala,1377,136
Ampara,Keeri Samba,Maha,557,149
Badulla,Keeri Samba,Yala,2010,130
Monaragala,Samba,Yala,2246,124
Ampara,Samba,Yala,2637,128
Monaragala,Nadu,Maha,3733,117
Monaragala,Nadu,Yala,614,103
Monaragala,Keeri Samba,Yala,924,128
Monaragala,Keeri Samba,Maha,3294,146
Ampara,Keeri Samba,Maha,4244,144
Ampara,Nadu,Yala,4046,109
Kandy,Nadu,Yala,4623,101
Kandy,Nadu,Maha,1194,114
Badulla,Nadu,Yala,601,106
Kandy,Nadu,Maha,1758,108
Ampara,Samba,Maha,966,132
Ampara,Samba,Yala,1095,120
Kandy,Samba,Yala,1102,119
Monaragala,Nadu,Maha,1764,112
Monaragala,Keeri Samba,Yala,2265,137
Kandy,Samba,Yala,1318,119
Kandy,Nadu,Maha,3322,116
Monaragala,Nadu,Yala,2748,104
Badulla,Nadu,Maha,1653,115
Kandy,Nadu,Maha,4542,111
Kandy,Nadu,Yala,4176,98
Badulla,Nadu,Yala,4419,98
Ampara,Nadu,Maha,2370,115
Kandy,Nadu,Maha,4995,114
Monaragala,Samba,Maha,2417,127
Ampara,Nadu,Yala,965,103
Badulla,Nadu,Yala,2845,98
Ampara,Samba,Yala,2051,125
Ampara,Nadu,Yala,2513,103
Monaragala,Keeri Samba,Maha,4531,141
Ampara,Keeri Samba,Yala,2768,133
Ampara,Samba,Maha,1109,132
Badulla,Nadu,Yala,1995,104
Ampara,Nadu,Yala,1459,108
Badulla,Keeri Samba,Maha,764,145
Monaragala,Keeri Samba,Maha,2261,143
Ampara,Nadu,Yala,747,104
Kandy,Nadu,Yala,4064,104
Ampara,Keeri Samba,Yala,2944,136
Badulla,Nadu,Maha,604,106
Monaragala,Nadu,Maha,1843,113
Ampara,Keeri Samba,Maha,4416,149
Monaragala,Keeri Samba,Maha,2977,141
Ampara,Keeri Samba,Maha,682,146
Ampara,Samba,Maha,2796,134
Monaragala,Keeri Samba,Maha,526,146
Ampara,Nadu,Maha,544,114
Badulla,Samba,Maha,1711,131
Ampara,Keeri Samba,Yala,1977,135
Badulla,Samba,Yala,3329,119
Ampara,Keeri Samba,Maha,1633,142
Badulla,Keeri Samba,Yala,2691,133
Kandy,Nadu,Yala,4948,99
Kandy,Keeri Samba,Maha,4295,140
Badulla,Keeri Samba,Maha,2616,141
Monaragala,Samba,Maha,3930,137
Monaragala,Nadu,Yala,4658,106
Ampara,Samba,Yala,3271,120
Ampara,Samba,Maha,4179,138
Kandy,Samba,Yala,1823,124
Ampara,Samba,Yala,4430,123
Kandy,Nadu,Yala,3644,100
Kandy,Keeri Samba,Yala,4151,134
Ampara,Samba,Maha,4271,135
Ampara,Samba,Maha,3797,140
Kandy,Nadu,Yala,1872,105
Ampara,Keeri Samba,Maha,3230,142
Monaragala,Samba,Maha,3968,130
Badulla,Keeri Samba,Maha,1828,138
Ampara,Keeri Samba,Yala,2228,130
Ampara,Keeri Samba,Maha,3265,148
Badulla,Keeri Samba,Yala,2218,129
Monaragala,Samba,Maha,3849,134
Kandy,Samba,Maha,3894,132
Ampara,Nadu,Yala,4617,110
Monaragala,Keeri Samba,Yala,3410,131
Monaragala,Samba,Maha,3079,135
Ampara,Samba,Maha,4318,130
Kandy,Keeri Samba,Yala,2419,133
Kandy,Samba,Yala,2922,118
Kandy,Keeri Samba,Yala,3673,129
Ampara,Keeri Samba,Yala,3560,137
Monaragala,Nadu,Maha,1628,109
Kandy,Samba,Maha,3995,128
Ampara,Samba,Yala,4776,125
Ampara,Keeri Samba,Yala,2174,139
Monaragala,Keeri Samba,Yala,4071,136
Kandy,Nadu,Maha,1918,110
Ampara,Samba,Yala,1545,129
Kandy,Keeri Samba,Yala,978,135
Kandy,Samba,Yala,1782,128
Kandy,Samba,Maha,4685,133
Ampara,Samba,Maha,3765,139
Kandy,Nadu,Maha,4469,115
Ampara,Nadu,Maha,3546,114
Badulla,Nadu,Maha,752,111
Monaragala,Nadu,Yala,1668,101
Badulla,Nadu,Maha,4523,111
Ampara,Keeri Samba,Yala,867,137
Ampara,Keeri Samba,Yala,520,137
Ampara,Keeri Samba,Maha,4554,144
Monaragala,Samba,Maha,4719,133
Monaragala,Nadu,Maha,1424,107
Monaragala,Keeri Samba,Maha,3921,141
Monaragala,Keeri Samba,Maha,2416,144
Monaragala,Samba,Yala,2082,121
Ampara,Samba,Yala,629,120
Monaragala,Samba,Yala,2877,122
Badulla,Keeri Samba,Yala,4943,134
Badulla,Samba,Maha,1224,134
Ampara,Samba,Maha,1605,138
Monaragala,Nadu,Maha,1253,110
Kandy,Samba,Yala,1421,125
Monaragala,Nadu,Maha,2204,112
Badulla,Nadu,Yala,4563,106
Kandy,Samba,Maha,4079,137
Kandy,Nadu,Maha,914,111
Kandy,Keeri Samba,Yala,2303,135
Badulla,Nadu,Maha,3945,111
Monaragala,Keeri Samba,Maha,1364,143
Badulla,Samba,Yala,2006,116
Kandy,Keeri Samba,Maha,3766,139
Kandy,Nadu,Maha,1618,113
Monaragala,Nadu,Maha,3707,109
Ampara,Samba,Maha,3265,130
Monaragala,Nadu,Yala,591,99
Badulla,Samba,Yala,1653,117
Monaragala,Samba,Maha,1044,128
Monaragala,Samba,Yala,642,126
Kandy,Nadu,Yala,3959,104
Monaragala,Nadu,Maha,556,110
Monaragala,Samba,Maha,1446,133
Badulla,Samba,Yala,4246,119
Kandy,Nadu,Maha,597,113
Monaragala,Keeri Samba,Maha,868,146
Monaragala,Keeri Samba,Yala,3710,135
Badulla,Nadu,Maha,4286,116
Kandy,Samba,Yala,3270,122
Badulla,Samba,Maha,4780,129
Kandy,Samba,Yala,4783,127
Badulla,Samba,Yala,2480,118
Kandy,Keeri Samba,Maha,1320,148
Badulla,Nadu,Yala,2491,98
Ampara,Nadu,Maha,1210,118
Kandy,Nadu,Yala,4748,100
Monaragala,Nadu,Maha,2782,117
Kandy,Samba,Maha,1858,130
Ampara,Keeri Samba,Maha,1197,144
Ampara,Keeri Samba,Maha,4324,140
Ampara,Samba,Maha,4498,136
Monaragala,Keeri Samba,Maha,3082,144
Ampara,Keeri Samba,Maha,1079,149
Ampara,Nadu,Maha,3455,119
Badulla,Samba,Maha,577,134
Kandy,Samba,Yala,4972,128
Monaragala,Samba,Maha,4727,130
Kandy,Keeri Samba,Maha,4660,143
Kandy,Keeri Samba,Maha,4477,139
Ampara,Keeri Samba,Yala,2437,136
Ampara,Nadu,Yala,1432,100
Badulla,Samba,Maha,2340,131
Monaragala,Nadu,Yala,1894,98
Ampara,Keeri Samba,Maha,1981,141
Badulla,Nadu,Maha,4730,107
Ampara,Nadu,Yala,2088,105
Kandy,Keeri Samba,Maha,4056,139
Ampara,Keeri Samba,Maha,1191,147
Kandy,Keeri Samba,Yala,1995,133
Monaragala,Nadu,Yala,3255,102
Monaragala,Nadu,Maha,1107,110
Kandy,Keeri Samba,Maha,2033,143
Badulla,Samba,Maha,4178,136
Monaragala,Keeri Samba,Maha,3172,147
Badulla,Samba,Maha,3569,133
Monaragala,Keeri Samba,Yala,3507,133
Kandy,Nadu,Maha,4400,118
Monaragala,Keeri Samba,Yala,4733,134
Badulla,Nadu,Yala,1633,105
Kandy,Keeri Samba,Maha,2075,148
Kandy,Samba,Maha,1401,130
Badulla,Samba,Maha,4962,127
Ampara,Samba,Maha,786,135
Badulla,Nadu,Maha,1450,114
Ampara,Nadu,Yala,1930,105
Ampara,Keeri Samba,Yala,2571,132
Badulla,Nadu,Yala,1234,98
Ampara,Nadu,Yala,2646,100
Monaragala,Samba,Maha,1111,136
Monaragala,Samba,Maha,2215,134
Kandy,Samba,Yala,1871,120
Monaragala,Samba,Maha,2181,127
Kandy,Samba,Yala,1182,128
Badulla,Samba,Maha,4158,136
Ampara,Samba,Yala,1011,123
Kandy,Nadu,Yala,767,100
Monaragala,Nadu,Maha,2256,117
Badulla,Keeri Samba,Maha,4498,145
Monaragala,Samba,Maha,710,133
Ampara,Samba,Yala,2130,120
Kandy,Samba,Maha,712,128
Monaragala,Nadu,Maha,2385,109
Kandy,Nadu,Yala,2781,106
Kandy,Nadu,Yala,2537,103
Ampara,Keeri Samba,Maha,2127,141
Kandy,Samba,Yala,4824,119
Badulla,Nadu,Maha,3872,113
Kandy,Nadu,Maha,3624,117
Monaragala,Keeri Samba,Yala,2882,130
Badulla,Samba,Yala,3540,123
Ampara,Nadu,Maha,1302,120
Ampara,Samba,Yala,3366,128
Monaragala,Samba,Yala,1827,127
Kandy,Samba,Maha,2498,136
Monaragala,Nadu,Yala,3532,97
Ampara,Samba,Maha,943,130
Ampara,Samba,Yala,4003,128
Monaragala,Keeri Samba,Yala,3876,135
Ampara,Nadu,Yala,4567,110
