district,paddyType,season,quantity,price
Ampara,Samba,Maha,2160,131
Ampara,Nadu,Yala,3534,103
Ampara,Keeri Samba,Maha,2310,148
Ampara,Samba,Yala,2444,122
Ampara,Nadu,Yala,3380,107
Ampara,Nadu,Yala,1866,101
Ampara,Nadu,Yala,3906,105
Ampara,Nadu,Maha,1002,117
Ampara,Nadu,Yala,604,103
Ampara,Samba,Yala,4548,126
Ampara,Samba,Yala,1610,129
Ampara,Nadu,Yala,4317,106
Ampara,Nadu,Yala,2362,105
Ampara,Keeri Samba,Yala,2237,138
Ampara,Keeri Samba,Yala,4406,136
Ampara,Samba,Maha,3020,132
Ampara,Nadu,Maha,2149,110
Ampara,Keeri Samba,Yala,4367,132
Ampara,Keeri Samba,Yala,4219,136
Ampara,Keeri Samba,Maha,1914,143
Ampara,Nadu,Yala,1103,107
Ampara,Samba,Maha,980,131
Ampara,Keeri Samba,Maha,3057,148
Ampara,Nadu,Maha,2795,112
Ampara,Nadu,Maha,4586,111
Ampara,Nadu,Maha,3312,117
Ampara,Samba,Maha,2794,140
Ampara,Keeri Samba,Maha,4485,142
Ampara,Keeri Samba,Maha,4739,141
Ampara,Nadu,Maha,1691,116
Ampara,Keeri Samba,Yala,3102,134
Ampara,Samba,Yala,867,124
Ampara,Nadu,Yala,3547,107
Ampara,Keeri Samba,Maha,1855,142
Ampara,Samba,Maha,2470,134
Ampara,Samba,Maha,745,130
Ampara,Samba,Maha,1955,131
Ampara,Keeri Samba,Yala,2684,140
Ampara,Keeri Samba,Yala,4904,133
Ampara,Samba,Maha,1975,137
Ampara,Samba,Maha,797,135
Ampara,Nadu,Maha,2312,112
Ampara,Nadu,Maha,503,118
Ampara,Keeri Samba,Yala,2846,130
Ampara,Keeri Samba,Maha,2445,150
Ampara,Samba,Yala,2379,124
Ampara,Keeri Samba,Yala,3172,133
Ampara,Keeri Samba,Maha,3968,142
Ampara,Keeri Samba,Yala,4459,134
Ampara,Samba,Maha,2684,134
Ampara,Keeri Samba,Maha,2955,144
Ampara,Keeri Samba,Maha,4936,140
Ampara,Samba,Maha,1789,137
Ampara,Keeri Samba,Maha,4114,140
Ampara,Keeri Samba,Maha,1853,143
Ampara,Nadu,Maha,1864,114
Ampara,Nadu,Yala,2098,103
Ampara,Samba,Yala,3541,124
Ampara,Nadu,Maha,4935,111
Ampara,Nadu,Yala,2536,104
Ampara,Samba,Yala,4750,124
Ampara,Nadu,Maha,1614,118
Ampara,Keeri Samba,Yala,1715,130
Ampara,Keeri Samba,Maha,990,141
Ampara,Nadu,Maha,1803,117
Ampara,Keeri Samba,Yala,2556,137
Ampara,Keeri Samba,Yala,3496,136
Ampara,Keeri Samba,Yala,1377,136
Ampara,Keeri Samba,Maha,557,149
Ampara,Samba,Yala,2637,128
Ampara,Keeri Samba,Maha,4244,144
Ampara,Nadu,Yala,4046,109
Ampara,Samba,Maha,966,132
Ampara,Samba,Yala,1095,120
Ampara,Nadu,Maha,2370,115
Ampara,Nadu,Yala,965,103
Ampara,Samba,Yala,2051,125
Ampara,Nadu,Yala,2513,103
Ampara,Keeri Samba,Yala,2768,133
Ampara,Samba,Maha,1109,132
Ampara,Nadu,Yala,1459,108
Ampara,Nadu,Yala,747,104
Ampara,Keeri Samba,Yala,2944,136
Ampara,Keeri Samba,Maha,4416,149
Ampara,Keeri Samba,Maha,682,146
Ampara,Samba,Maha,2796,134
Ampara,Nadu,Maha,544,114
Ampara,Keeri Samba,Yala,1977,135
Ampara,Keeri Samba,Maha,1633,142
Ampara,Samba,Yala,3271,120
Ampara,Samba,Maha,4179,138
Ampara,Samba,Yala,4430,123
Ampara,Samba,Maha,4271,135
Ampara,Samba,Maha,3797,140
Ampara,Keeri Samba,Maha,3230,142
Ampara,Keeri Samba,Yala,2228,130
Ampara,Keeri Samba,Maha,3265,148
Ampara,Nadu,Yala,4617,110
Ampara,Samba,Maha,4318,130
Ampara,Keeri Samba,Yala,3560,137
Ampara,Samba,Yala,4776,125
Ampara,Keeri Samba,Yala,2174,139
Ampara,Samba,Yala,1545,129
Ampara,Samba,Maha,3765,139
Ampara,Nadu,Maha,3546,114
Ampara,Keeri Samba,Yala,867,137
Ampara,Keeri Samba,Yala,520,137
Ampara,Keeri Samba,Maha,4554,144
Ampara,Samba,Yala,629,120
Ampara,Samba,Maha,1605,138
Ampara,Samba,Maha,3265,130
Ampara,Nadu,Maha,1210,118
Ampara,Keeri Samba,Maha,1197,144
Ampara,Keeri Samba,Maha,4324,140
Ampara,Samba,Maha,4498,136
Ampara,Keeri Samba,Maha,1079,149
Ampara,Nadu,Maha,3455,119
Ampara,Keeri Samba,Yala,2437,136
Ampara,Nadu,Yala,1432,100
Ampara,Keeri Samba,Maha,1981,141
Ampara,Nadu,Yala,2088,105
Ampara,Keeri Samba,Maha,1191,147
Ampara,Samba,Maha,786,135
Ampara,Nadu,Yala,1930,105
Ampara,Keeri Samba,Yala,2571,132
Ampara,Nadu,Yala,2646,100
Ampara,Samba,Yala,1011,123
Ampara,Samba,Yala,2130,120
Ampara,Keeri Samba,Maha,2127,141
Ampara,Nadu,Maha,1302,120
Ampara,Samba,Yala,3366,128
Ampara,Samba,Maha,943,130
Ampara,Samba,Yala,4003,128
Ampara,Nadu,Yala,4567,110
Ampara,Samba,Yala,4338,122
Ampara,Nadu,Maha,2913,118
Ampara,Nadu,Yala,2717,108
Ampara,Keeri Samba,Yala,3706,139
Ampara,Nadu,Yala,3256,109
Ampara,Samba,Maha,1758,135
Ampara,Nadu,Yala,4747,104
Ampara,Nadu,Yala,3540,107
Ampara,Nadu,Yala,3334,100
Ampara,Keeri Samba,Yala,2891,135
Ampara,Keeri Samba,Yala,2592,138
Ampara,Nadu,Yala,3616,109
Ampara,Samba,Maha,924,134
Ampara,Keeri Samba,Yala,3305,139
Ampara,Samba,Maha,3930,137
Ampara,Samba,Maha,4356,139
Ampara,Keeri Samba,Yala,4589,135
Ampara,Keeri Samba,Yala,4324,131
Ampara,Nadu,Maha,3575,119
Ampara,Samba,Yala,4184,130
Ampara,Keeri Samba,Maha,3025,150
Ampara,Samba,Yala,1415,130
Ampara,Nadu,Yala,3294,103
Ampara,Keeri Samba,Maha,1207,141
Ampara,Nadu,Maha,954,117
Ampara,Samba,Yala,3500,129
Ampara,Samba,Yala,4821,122
Ampara,Samba,Maha,666,133
Ampara,Keeri Samba,Maha,1537,140
Ampara,Nadu,Yala,4440,101
Ampara,Nadu,Maha,3502,112
Ampara,Nadu,Maha,1780,110
Ampara,Keeri Samba,Maha,4983,148
Ampara,Nadu,Maha,1148,116
Ampara,Keeri Samba,Maha,2625,146
Ampara,Samba,Maha,2591,140
Ampara,Keeri Samba,Maha,4074,145
Ampara,Nadu,Yala,2085,107
Ampara,Nadu,Yala,2218,104
Ampara,Nadu,Maha,1791,110
Ampara,Keeri Samba,Yala,4121,132
Ampara,Samba,Yala,4352,129
Ampara,Nadu,Maha,2861,112
Ampara,Nadu,Maha,1884,118
Ampara,Keeri Samba,Yala,2019,137
Ampara,Keeri Samba,Yala,1865,131
Ampara,Samba,Maha,1175,133
Ampara,Samba,Yala,2427,125
Ampara,Keeri Samba,Maha,1421,142
Ampara,Nadu,Yala,1559,103
Ampara,Nadu,Yala,787,110
Ampara,Nadu,Maha,2848,115
Ampara,Keeri Samba,Maha,1396,142
Ampara,Keeri Samba,Maha,1530,142
Ampara,Samba,Yala,2018,128
Ampara,Nadu,Maha,3240,114
Ampara,Keeri Samba,Yala,2509,133
Ampara,Nadu,Maha,707,114
Ampara,Samba,Yala,3581,125
Ampara,Samba,Maha,4765,138
Ampara,Nadu,Yala,728,109
Ampara,Keeri Samba,Yala,3798,130
Ampara,Keeri Samba,Yala,1396,140
Ampara,Samba,Maha,4561,139
Ampara,Samba,Yala,1422,121
Ampara,Samba,Maha,3396,140
Ampara,Keeri Samba,Maha,2718,150
Ampara,Nadu,Maha,867,120
Ampara,Nadu,Yala,851,106
Ampara,Keeri Samba,Maha,842,149
Ampara,Nadu,Maha,2115,111
Ampara,Samba,Yala,2487,123
Ampara,Samba,Maha,4655,131
Ampara,Samba,Maha,3279,130
Ampara,Samba,Yala,3280,120
Ampara,Keeri Samba,Maha,1398,147
Ampara,Samba,Yala,4054,127
Ampara,Nadu,Yala,3122,100
Ampara,Samba,Maha,2051,135
Ampara,Samba,Yala,3494,127
Ampara,Samba,Yala,4674,130
Ampara,Keeri Samba,Maha,1986,141
Ampara,Nadu,Yala,1424,106
Ampara,Keeri Samba,Maha,4303,150
