District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone
Trincomalee,Dry Zone,Attakkari,2024,Yala,6060,4-4.5 Months,Long Grain (Nadu),Red,No,No
Puttalam,Dry Zone,Bg 250,2019,Yala,5377,2.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bw 372,2021,Maha,3195,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Attakkari,2024,Maha,7133,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 307,2024,Yala,5128,3 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 357,2022,Yala,10421,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bg 360,2021,Maha,7545,3.5 Months,Short Grain (Samba),White,No,No
Kurunegala,Intermediate Zone,Bg 352,2018,Yala,23365,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,At 307,2018,Yala,5152,3 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,At 353,2018,Yala,897,3.5 Months,Long Grain (Nadu),Red,Yes,No
Puttalam,Dry Zone,At 354,2018,Maha,212,3.5 Months,Long Grain (Nadu),White,Yes,No
Kandy,Intermediate Zone,Bg 360,2023,Maha,8842,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,Bw 372,2018,Yala,3476,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kegalle,Wet Zone,Attakkari,2022,Yala,6951,4-4.5 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,At 303,2021,Maha,1776,3 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,Attakkari,2020,Yala,6363,4-4.5 Months,Long Grain (Nadu),Red,No,No
Batticaloa,Dry Zone,Bw 400,2022,Maha,70,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Gampaha,Wet Zone,Ld 368,2018,Yala,2518,3.5 Months,Short Grain (Samba),Red,No,No
Polonnaruwa,Dry Zone,Bw 367,2021,Yala,3642,3.5 Months,Short Grain (Samba),White,No,Yes
Hambantota,Dry Zone,Bw 364,2021,Maha,276,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,At 362,2024,Annual,9838,3.5 Months,Long Grain (Nadu),Red,No,No
Mullaitivu,Dry Zone,Attakkari,2024,Maha,6386,4-4.5 Months,Long Grain (Nadu),Red,No,No
Polonnaruwa,Dry Zone,Ld 368,2018,Maha,1973,3.5 Months,Short Grain (Samba),Red,No,No
Anuradhapura,Dry Zone,Ld 368,2023,Maha,3380,3.5 Months,Short Grain (Samba),Red,No,No
Badulla,Intermediate Zone,Bg 94-1,2020,Maha,24166,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,Bw 400,2023,Maha,71,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Gampaha,Wet Zone,Bw 372,2021,Maha,3106,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,Ld 368,2023,Annual,3542,3.5 Months,Short Grain (Samba),Red,No,No
Mullaitivu,Dry Zone,Bg 359,2019,Maha,2448,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 310,2018,Yala,8902,3 Months,Long Grain (Nadu),White,Yes,No
Polonnaruwa,Dry Zone,Bg 379-2,2024,Maha,1584,4-4.5 Months,Long Grain (Nadu),White,No,No
Polonnaruwa,Dry Zone,Bg 360,2020,Yala,5489,3.5 Months,Short Grain (Samba),White,No,No
Matara,Wet Zone,Bg 369,2023,Yala,902,3.5 Months,Long Grain (Nadu),White,Yes,No
Ampara,Dry Zone,At 303,2023,Maha,1834,3 Months,Long Grain (Nadu),Red,No,No
Anuradhapura,Dry Zone,At 353,2021,Maha,759,3.5 Months,Long Grain (Nadu),Red,Yes,No
Hambantota,Dry Zone,Bw 372,2018,Annual,2969,3.5 Months,Long Grain (Nadu),Red,No,Yes
Matara,Wet Zone,At 303,2023,Yala,1507,3 Months,Long Grain (Nadu),Red,No,No
Vavuniya,Dry Zone,Bg 359,2022,Maha,2980,3.5 Months,Long Grain (Nadu),White,No,No
Kandy,Intermediate Zone,At 303,2024,Yala,1742,3 Months,Long Grain (Nadu),Red,No,No
Mullaitivu,Dry Zone,Bg 357,2024,Maha,13720,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bw 400,2019,Maha,99,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Ampara,Dry Zone,Bg 357,2019,Yala,13394,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 374,2023,Yala,2620,3.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,Bw 312,2018,Maha,540,3 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,Bg 310,2022,Yala,2135,3 Months,Long Grain (Nadu),White,Yes,No
Matara,Wet Zone,Ld 368,2023,Maha,2143,3.5 Months,Short Grain (Samba),Red,No,No
Ampara,Dry Zone,Bg 300,2024,Maha,14133,3 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,At 354,2018,Yala,364,3.5 Months,Long Grain (Nadu),White,Yes,No
Kegalle,Wet Zone,Bg 374,2021,Yala,5932,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bg 360,2022,Maha,9815,3.5 Months,Short Grain (Samba),White,No,No
Kandy,Intermediate Zone,Bg 250,2020,Maha,7541,2.5 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,Bw 312,2021,Maha,520,3 Months,Long Grain (Nadu),Red,No,Yes
Mannar,Dry Zone,Attakkari,2019,Yala,7443,4-4.5 Months,Long Grain (Nadu),Red,No,No
Badulla,Intermediate Zone,Bg 360,2022,Yala,10364,3.5 Months,Short Grain (Samba),White,No,No
Puttalam,Dry Zone,Bg 300,2023,Yala,8540,3 Months,Long Grain (Nadu),White,No,No
Galle,Wet Zone,At 303,2018,Annual,1868,3 Months,Long Grain (Nadu),Red,No,No
Trincomalee,Dry Zone,At 354,2022,Maha,249,3.5 Months,Long Grain (Nadu),White,Yes,No
Polonnaruwa,Dry Zone,Bw 364,2022,Yala,301,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Bg 250,2018,Yala,8428,2.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 360,2019,Maha,9551,3.5 Months,Short Grain (Samba),White,No,No
Killinochchi,Dry Zone,Bg 352,2023,Maha,22135,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,At 354,2022,Maha,252,3.5 Months,Long Grain (Nadu),White,Yes,No
Matale,Intermediate Zone,Bw 364,2019,Maha,330,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,Bg 310,2024,Annual,14875,3 Months,Long Grain (Nadu),White,Yes,No
Kandy,Intermediate Zone,Bw 400,2021,Yala,71,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Anuradhapura,Dry Zone,Bw 364,2020,Annual,307,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,At 362,2019,Yala,17615,3.5 Months,Long Grain (Nadu),Red,No,No
Kalutara,Wet Zone,Bg 359,2019,Yala,2618,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,At 362,2022,Maha,3326,3.5 Months,Long Grain (Nadu),Red,No,No
Ampara,Dry Zone,Bw 364,2018,Maha,353,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mullaitivu,Dry Zone,At 307,2020,Maha,9145,3 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bg 310,2019,Maha,10096,3 Months,Long Grain (Nadu),White,Yes,No
Hambantota,Dry Zone,Bw 372,2020,Maha,2872,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,Bw 400,2024,Annual,88,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Vavuniya,Dry Zone,Attakkari,2022,Maha,6357,4-4.5 Months,Long Grain (Nadu),Red,No,No
Vavuniya,Dry Zone,Bw 372,2023,Maha,2889,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,Bw 364,2018,Yala,393,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mannar,Dry Zone,Bg 360,2018,Yala,10625,3.5 Months,Short Grain (Samba),White,No,No
Kandy,Intermediate Zone,Bw 364,2019,Maha,317,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,Bg 360,2018,Maha,5095,3.5 Months,Short Grain (Samba),White,No,No
Ratnapura,Wet Zone,Attakkari,2018,Yala,7396,4-4.5 Months,Long Grain (Nadu),Red,No,No
Kurunegala,Intermediate Zone,Bg 359,2024,Yala,2737,3.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 374,2019,Annual,5065,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bw 372,2022,Maha,2926,3.5 Months,Long Grain (Nadu),Red,No,Yes
Monaragala,Intermediate Zone,Bg 357,2018,Maha,12824,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,At 353,2023,Annual,985,3.5 Months,Long Grain (Nadu),Red,Yes,No
Anuradhapura,Dry Zone,At 354,2021,Yala,381,3.5 Months,Long Grain (Nadu),White,Yes,No
Galle,Wet Zone,Bg 310,2021,Yala,2336,3 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,At 354,2024,Maha,381,3.5 Months,Long Grain (Nadu),White,Yes,No
Kurunegala,Intermediate Zone,Bw 367,2022,Yala,6623,3.5 Months,Short Grain (Samba),White,No,Yes
Kandy,Intermediate Zone,At 362,2022,Maha,44420,3.5 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,At 307,2021,Annual,6624,3 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bw 400,2018,Yala,97,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Kalutara,Wet Zone,At 307,2022,Yala,10238,3 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,At 303,2020,Annual,1626,3 Months,Long Grain (Nadu),Red,No,No
Mannar,Dry Zone,Bg 379-2,2018,Maha,1777,4-4.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 250,2024,Annual,7439,2.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,Ld 368,2024,Yala,2018,3.5 Months,Short Grain (Samba),Red,No,No
Polonnaruwa,Dry Zone,At 362,2023,Maha,37347,3.5 Months,Long Grain (Nadu),Red,No,No
Monaragala,Intermediate Zone,Bg 310,2019,Yala,4670,3 Months,Long Grain (Nadu),White,Yes,No
Trincomalee,Dry Zone,Bg 94-1,2021,Annual,20454,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bg 94-1,2018,Maha,18069,3.5 Months,Long Grain (Nadu),White,No,No
Polonnaruwa,Dry Zone,At 307,2023,Yala,10583,3 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,At 353,2024,Annual,280,3.5 Months,Long Grain (Nadu),Red,Yes,No
Mullaitivu,Dry Zone,At 307,2022,Yala,6635,3 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bw 312,2024,Yala,797,3 Months,Long Grain (Nadu),Red,No,Yes
Kegalle,Wet Zone,Bw 372,2022,Yala,2536,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,At 303,2024,Maha,1906,3 Months,Long Grain (Nadu),Red,No,No
Trincomalee,Dry Zone,Bg 369,2020,Maha,792,3.5 Months,Long Grain (Nadu),White,Yes,No
Trincomalee,Dry Zone,Bg 357,2019,Yala,10964,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 359,2018,Annual,2606,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bw 372,2019,Yala,2613,3.5 Months,Long Grain (Nadu),Red,No,Yes
Ampara,Dry Zone,At 354,2023,Maha,261,3.5 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,At 354,2021,Maha,375,3.5 Months,Long Grain (Nadu),White,Yes,No
Vavuniya,Dry Zone,Ld 368,2024,Yala,3061,3.5 Months,Short Grain (Samba),Red,No,No
Ratnapura,Wet Zone,Bg 359,2019,Maha,2903,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bg 369,2019,Maha,453,3.5 Months,Long Grain (Nadu),White,Yes,No
Mannar,Dry Zone,Bg 300,2021,Maha,18860,3 Months,Long Grain (Nadu),White,No,No
Puttalam,Dry Zone,Attakkari,2019,Maha,7424,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,Bg 357,2018,Maha,11032,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 300,2023,Maha,14156,3 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 374,2020,Yala,1599,3.5 Months,Long Grain (Nadu),White,No,No
Polonnaruwa,Dry Zone,Bg 374,2023,Maha,1916,3.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Bw 400,2018,Maha,57,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Mullaitivu,Dry Zone,Bw 364,2020,Maha,301,3.5 Months,Long Grain (Nadu),Red,No,Yes
Matale,Intermediate Zone,At 354,2022,Maha,306,3.5 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,Bg 359,2019,Yala,2330,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 250,2018,Maha,6790,2.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Ld 368,2022,Yala,3310,3.5 Months,Short Grain (Samba),Red,No,No
Monaragala,Intermediate Zone,Bw 372,2020,Yala,2709,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kegalle,Wet Zone,Bg 359,2019,Maha,2531,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,At 307,2019,Yala,5767,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bw 367,2024,Maha,9995,3.5 Months,Short Grain (Samba),White,No,Yes
Galle,Wet Zone,Bw 312,2019,Yala,698,3 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Bg 357,2024,Yala,10845,3.5 Months,Long Grain (Nadu),White,No,No
Kalutara,Wet Zone,Bw 372,2022,Maha,3179,3.5 Months,Long Grain (Nadu),Red,No,Yes
Hambantota,Dry Zone,Bg 94-1,2022,Maha,17604,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bg 300,2024,Maha,18118,3 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,Bg 357,2018,Yala,13598,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Bw 400,2020,Annual,68,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Anuradhapura,Dry Zone,At 303,2023,Yala,1682,3 Months,Long Grain (Nadu),Red,No,No
Polonnaruwa,Dry Zone,Bg 310,2023,Yala,5561,3 Months,Long Grain (Nadu),White,Yes,No
Badulla,Intermediate Zone,Attakkari,2020,Maha,6615,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,Bw 400,2024,Maha,66,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Gampaha,Wet Zone,Bg 310,2024,Maha,5126,3 Months,Long Grain (Nadu),White,Yes,No
Batticaloa,Dry Zone,Bw 364,2023,Annual,333,3.5 Months,Long Grain (Nadu),Red,No,Yes
Monaragala,Intermediate Zone,Bw 364,2022,Maha,278,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kegalle,Wet Zone,Bg 310,2020,Yala,12779,3 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,Bg 250,2018,Maha,6010,2.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 374,2024,Maha,4102,3.5 Months,Long Grain (Nadu),White,No,No
Anuradhapura,Dry Zone,Bg 369,2019,Maha,593,3.5 Months,Long Grain (Nadu),White,Yes,No
Matale,Intermediate Zone,Bg 360,2019,Yala,9574,3.5 Months,Short Grain (Samba),White,No,No
Anuradhapura,Dry Zone,At 353,2018,Maha,1521,3.5 Months,Long Grain (Nadu),Red,Yes,No
Batticaloa,Dry Zone,Attakkari,2020,Yala,7394,4-4.5 Months,Long Grain (Nadu),Red,No,No
Kalutara,Wet Zone,Bw 312,2023,Annual,995,3 Months,Long Grain (Nadu),Red,No,Yes
Ampara,Dry Zone,Bg 360,2020,Yala,9058,3.5 Months,Short Grain (Samba),White,No,No
Kegalle,Wet Zone,At 362,2020,Maha,13492,3.5 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,At 303,2022,Maha,1832,3 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 307,2019,Yala,9716,3 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,At 362,2023,Maha,37573,3.5 Months,Long Grain (Nadu),Red,No,No
Anuradhapura,Dry Zone,Attakkari,2024,Maha,6348,4-4.5 Months,Long Grain (Nadu),Red,No,No
Anuradhapura,Dry Zone,Bg 250,2024,Maha,5233,2.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bw 364,2024,Yala,390,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kurunegala,Intermediate Zone,Bw 364,2019,Yala,369,3.5 Months,Long Grain (Nadu),Red,No,Yes
Anuradhapura,Dry Zone,Bg 379-2,2023,Maha,1873,4-4.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bg 352,2022,Yala,36989,3.5 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,At 354,2019,Maha,375,3.5 Months,Long Grain (Nadu),White,Yes,No
Anuradhapura,Dry Zone,At 354,2023,Maha,275,3.5 Months,Long Grain (Nadu),White,Yes,No
Galle,Wet Zone,Bw 400,2021,Yala,83,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Trincomalee,Dry Zone,Bg 250,2021,Maha,7520,2.5 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,Bw 364,2021,Maha,287,3.5 Months,Long Grain (Nadu),Red,No,Yes
Trincomalee,Dry Zone,Bg 379-2,2020,Annual,1605,4-4.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,At 362,2024,Maha,55995,3.5 Months,Long Grain (Nadu),Red,No,No
Kalutara,Wet Zone,At 307,2023,Yala,5792,3 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 374,2021,Yala,6496,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bw 400,2022,Maha,32,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Badulla,Intermediate Zone,At 354,2020,Maha,386,3.5 Months,Long Grain (Nadu),White,Yes,No
Kegalle,Wet Zone,Bg 374,2024,Yala,2262,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 310,2023,Maha,6314,3 Months,Long Grain (Nadu),White,Yes,No
Kegalle,Wet Zone,Attakkari,2020,Maha,6598,4-4.5 Months,Long Grain (Nadu),Red,No,No
Badulla,Intermediate Zone,At 303,2018,Yala,1893,3 Months,Long Grain (Nadu),Red,No,No
Badulla,Intermediate Zone,Bw 367,2024,Maha,11362,3.5 Months,Short Grain (Samba),White,No,Yes
Batticaloa,Dry Zone,Bg 300,2024,Yala,29893,3 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bg 374,2020,Maha,1673,3.5 Months,Long Grain (Nadu),White,No,No
Kurunegala,Intermediate Zone,Bg 379-2,2023,Yala,1586,4-4.5 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,At 354,2019,Yala,332,3.5 Months,Long Grain (Nadu),White,Yes,No
Kurunegala,Intermediate Zone,Bw 372,2021,Maha,3057,3.5 Months,Long Grain (Nadu),Red,No,Yes
Kegalle,Wet Zone,At 362,2018,Yala,19666,3.5 Months,Long Grain (Nadu),Red,No,No
Mannar,Dry Zone,Bw 400,2020,Yala,57,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Vavuniya,Dry Zone,At 307,2022,Maha,7953,3 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 352,2023,Maha,27688,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bw 372,2019,Maha,3265,3.5 Months,Long Grain (Nadu),Red,No,Yes
Killinochchi,Dry Zone,Bg 352,2022,Yala,37389,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 357,2020,Maha,11634,3.5 Months,Long Grain (Nadu),White,No,No
Mullaitivu,Dry Zone,Bg 366,2022,Maha,12379,3.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,Bw 400,2024,Maha,21,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Kegalle,Wet Zone,Bg 250,2022,Yala,7284,2.5 Months,Long Grain (Nadu),White,No,No
Puttalam,Dry Zone,At 362,2019,Maha,58357,3.5 Months,Long Grain (Nadu),Red,No,No
Matara,Wet Zone,Bg 374,2021,Annual,1674,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Attakkari,2019,Yala,6128,4-4.5 Months,Long Grain (Nadu),Red,No,No
Ratnapura,Wet Zone,Bw 364,2022,Maha,346,3.5 Months,Long Grain (Nadu),Red,No,Yes
Mullaitivu,Dry Zone,Bg 300,2018,Maha,14659,3 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 300,2020,Maha,11820,3 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,At 353,2023,Maha,957,3.5 Months,Long Grain (Nadu),Red,Yes,No
Ratnapura,Wet Zone,Bg 360,2020,Annual,9227,3.5 Months,Short Grain (Samba),White,No,No
Vavuniya,Dry Zone,Bg 357,2023,Maha,13578,3.5 Months,Long Grain (Nadu),White,No,No
Vavuniya,Dry Zone,Bw 312,2020,Maha,870,3 Months,Long Grain (Nadu),Red,No,Yes
Ampara,Dry Zone,At 307,2018,Yala,4975,3 Months,Long Grain (Nadu),White,No,No
Gampaha,Wet Zone,Bg 359,2021,Yala,2900,3.5 Months,Long Grain (Nadu),White,No,No
Ampara,Dry Zone,Attakkari,2022,Yala,7371,4-4.5 Months,Long Grain (Nadu),Red,No,No
Ratnapura,Wet Zone,Bg 357,2021,Maha,10268,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 369,2019,Maha,195,3.5 Months,Long Grain (Nadu),White,Yes,No
Kegalle,Wet Zone,At 303,2020,Annual,1936,3 Months,Long Grain (Nadu),Red,No,No
Monaragala,Intermediate Zone,Bg 300,2021,Maha,20529,3 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,At 307,2018,Maha,6681,3 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 300,2021,Annual,8598,3 Months,Long Grain (Nadu),White,No,No
Ratnapura,Wet Zone,Bg 310,2020,Yala,7228,3 Months,Long Grain (Nadu),White,Yes,No
Monaragala,Intermediate Zone,Bg 374,2021,Maha,2642,3.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,At 354,2019,Yala,390,3.5 Months,Long Grain (Nadu),White,Yes,No
Kegalle,Wet Zone,At 353,2018,Yala,1386,3.5 Months,Long Grain (Nadu),Red,Yes,No
Mannar,Dry Zone,Bw 367,2021,Yala,6956,3.5 Months,Short Grain (Samba),White,No,Yes
Galle,Wet Zone,Bg 374,2019,Maha,3740,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 94-1,2018,Maha,20623,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 357,2018,Yala,13276,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 360,2021,Annual,3539,3.5 Months,Short Grain (Samba),White,No,No
Kalutara,Wet Zone,Bw 364,2022,Yala,387,3.5 Months,Long Grain (Nadu),Red,No,Yes
Vavuniya,Dry Zone,Bg 357,2018,Maha,10740,3.5 Months,Long Grain (Nadu),White,No,No
Polonnaruwa,Dry Zone,Bw 400,2020,Maha,84,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Trincomalee,Dry Zone,At 354,2023,Annual,380,3.5 Months,Long Grain (Nadu),White,Yes,No
Kalutara,Wet Zone,Bg 250,2020,Annual,8304,2.5 Months,Long Grain (Nadu),White,No,No
Puttalam,Dry Zone,Bg 357,2024,Annual,12223,3.5 Months,Long Grain (Nadu),White,No,No
Kegalle,Wet Zone,Bg 366,2023,Yala,15427,3.5 Months,Long Grain (Nadu),White,No,No
Mannar,Dry Zone,Ld 368,2019,Maha,3149,3.5 Months,Short Grain (Samba),Red,No,No
